# What each Spanish phrase in `phrases.txt` means, in English.
#
# Format: pattern|gloss — joined to `phrases.txt` on the pattern. A pattern
# this file does not explain is not underlined at all, so a translation in
# progress simply shows fewer phrases rather than showing empty ones.
#
# These glosses are written by hand and are not derived from any licensed
# corpus. To translate this pack for a reader of another language, copy this
# file to `phrases.<code>.txt` and translate the right-hand side; the patterns
# on the left are the join key and must not change.
# ---- Verbal periphrases: the head inflects, so the pattern is the infinitive.
tener que|to have to, must
dicho sea de paso|incidentally
por así decirlo|so to speak
por decirlo así|so to speak
a saber|namely; who knows
que yo sepa|as far as I know
cuanto más|the more; all the more
cuanto antes|as soon as possible
más allá de|beyond
más allá|further on; the beyond
# ---- Degree, quantity and modality
todo el mundo|everybody, everyone
del todo|completely, entirely
sin querer|accidentally, unintentionally
sin más|just like that, without further ado
sin falta|without fail
sin cesar|incessantly
ni idea|no idea
ni hablar|no way, out of the question
ni mucho menos|far from it, not at all
ni que|as if; not even if
ni se te ocurra|don't even think about it
gran cosa|much, a big deal
un montón de|lots of, a ton of
un montón|a lot, loads
un tal|a certain, one (so-and-so)
y demás|and so on, and the rest
de lo más|most, really, extremely
a lo sumo|at most
por muy|however (+ adjective)
por mucho que|however much
por más que|however much, no matter how much
por poco|almost, nearly
de veras|really, truly
a medias|halfway, half-done; half each
a duras penas|barely, with great difficulty
de sobra|more than enough; perfectly well
de primera|first-rate; (de primera mano) first-hand
de por sí|in itself, by nature
# ---- Time
por fin|at last, finally
al fin|at last, finally
al cabo de|after (a length of time)
al poco rato|shortly afterwards
un buen rato|quite a while
dentro de poco|soon, shortly
de un momento a otro|any moment now
de la noche a la mañana|overnight, suddenly
de golpe|suddenly, all at once
de improviso|unexpectedly
de antemano|beforehand, in advance
de una vez|once and for all; in one go
de una vez por todas|once and for all
de cuando en cuando|from time to time
una y otra vez|again and again
de noche|at night, by night; (se hace de noche) it gets dark
por la noche|at night, in the evening
por la mañana|in the morning
por la tarde|in the afternoon, in the evening
pasado mañana|the day after tomorrow
hoy día|nowadays
a estas alturas|at this stage, by now
a primera hora|first thing (in the morning)
a finales de|at the end of (a period)
a la larga|in the long run
en breve|shortly
en adelante|from then on, onwards
de ahora en adelante|from now on
hasta ahora|so far, until now; (farewell) see you in a bit
hasta la vista|see you, goodbye
a eso de|at about (a time)
en el acto|on the spot, immediately
en un abrir y cerrar de ojos|in the blink of an eye
en seco|abruptly, dead (to stop dead)
# ---- Manner and place
a solas|alone, by oneself
a ciegas|blindly
a oscuras|in the dark
a escondidas|secretly, behind (someone's) back
a tientas|gropingly, feeling one's way
a toda prisa|in a great hurry
a todo correr|at full speed
a lo lejos|in the distance
a lo grande|in style
a la fuerza|by force; necessarily, of necessity
a propósito|on purpose; by the way
a pie|on foot
a mano|by hand; at hand, handy
a la ligera|lightly, without thinking
a regañadientes|reluctantly
a carcajadas|(laughing) heartily, uproariously
a gritos|shouting, at the top of one's voice
al revés|the other way round, inside out, upside down
al contrario|on the contrary
al parecer|apparently
al fondo|at the back, at the bottom, at the end
al aire libre|outdoors, in the open air
al respecto|about it, on the matter
al pie de la letra|literally, to the letter
al azar|at random
al igual que|like, just as
en voz alta|aloud, out loud
en voz baja|in a low voice, quietly
en el fondo|deep down; at the bottom
en pleno|in the middle of, at the height of
en marcha|running, under way; (¡en marcha!) let's go
de reojo|out of the corner of one's eye
de prisa|quickly, in a hurry
de memoria|by heart
de mala gana|reluctantly
de buena gana|willingly, gladly
de maravilla|wonderfully
de lleno|fully, squarely
de par en par|wide open
de ninguna manera|no way, by no means
de todas maneras|anyway, in any case
de otro modo|otherwise; in another way
de siempre|usual, as always; lifelong
como de costumbre|as usual
de costumbre|usual, as usual
como es debido|properly
de camino|on the way
de entrada|to begin with, from the start
poco a poco|little by little, gradually
por encima de|above, over; more than
por encima|on top; superficially, roughly
por delante|ahead, in front
por ahí|around there, somewhere; out and about; thereabouts
por aquí|around here, this way
por allí|over there, that way
por allá|over there
por todas partes|everywhere
por doquier|everywhere
por su cuenta|on one's own, off one's own bat
por lo bajo|under one's breath; at the least
por desgracia|unfortunately
por culpa de|because of, through the fault of
por si|in case
por nada del mundo|not for anything in the world
de la mano|hand in hand; (de la mano de) led by
a la vuelta de la esquina|just around the corner
junto a|next to, beside
frente a|opposite, facing; faced with
# ---- Prepositional phrases
en torno a|around, about
a cambio de|in exchange for
a cambio|in return
a fin de|in order to
a base de|by means of, by dint of; based on
a fuerza de|by dint of
de parte de|on behalf of, from
a falta de|for lack of
a modo de|by way of, as a kind of
a espaldas de|behind (someone's) back
# ---- Fixed dialogue and exclamations
a ver|let's see; (a ver si) let's see if, I hope; (after a verb of motion) to see
vamos a ver|let's see; we are going to see
qué pasa|what's up, what's going on
qué te pasa|what's wrong with you
qué hay|what's up; (qué hay de) what about; what is there
qué va|no way, not at all
qué más da|what does it matter
qué le vamos a hacer|oh well, what can you do
qué lástima|what a pity
qué vergüenza|how embarrassing; shame on you
qué demonios|what the hell
qué diablos|what the devil, what the hell
qué rayos|what on earth
qué carajo|what the hell (vulgar)
cómo no|of course, sure
cómo que|what do you mean
claro está|of course
no puede ser|it can't be (true)!; cannot be
puede que|maybe, it may be that
no pasa nada|it's fine, no worries
no hay de qué|don't mention it
no me digas|you don't say, really?
ya está|that's it, done
ya lo creo|I should say so, of course
ya era hora|about time
ya verás|you'll see
ya ves|you see; there you go
ya sabes|you know
venga ya|come on (disbelief), come off it
dios mío|my God
madre mía|oh my God, good grief
válgame dios|good heavens
gracias a dios|thank God
vaya por dios|oh dear, for goodness' sake
por amor de dios|for God's sake
por el amor de dios|for God's sake
con permiso|excuse me
mucho gusto|pleased to meet you
lo que faltaba|that's all we needed
pase lo que pase|whatever happens
como quieras|as you like
como sea|however, anyhow; whatever it takes
sea como sea|be that as it may, whatever happens
sea lo que sea|whatever it is
a la mierda|to hell with it, get lost (vulgar)
