# Generated by tools/dictgen — do not edit by hand.
# Language: Indonesian (id)
# Format: word|band|from|pos — what each word is. What it means is in
# gloss.<language>.txt, joined to this file on the headword.
#
# The band column is empty for any word ranks.txt ranks: the band is computed
# from the rank there. It is filled only for words the corpus never ranked.
yang|||
dan|||
di|||
ke|||
dari|||
ini|||
itu|||pron.;part.
semen|||n.
pasir|||
emas|||
perak|||
besi|||
kayu|||
kaca|||
hewan|||
kucing|||
anjing|||
ayam|||
sapi|||
kambing|||
kuda|||
ikan|||
burung|||
ular|||
tikus|||
gajah|||
harimau|||
monyet|||
semut|||
nyamuk|||
nasi|||
beras|||
roti|||
mi|||
mie|||
daging|||
telur|||
susu|||
gula|||
gula-gula|||n.
garam|||
minyak|||
sayur|||
bawang|||
cabai|||
sambal|||
kopi|||
teh|||
es|||
kue|||
pisang|||
jeruk|||
kelapa|||
sarapan|||
warna|||
merah|||
putih|||
hitam|||
biru|||
hijau|||
kuning|||
coklat|||adj.;n.
ungu|||
pagi|||
siang|||
sore|||
malam|||
sambil|||
lalu|||adv.;adj.
kemudian|||
hal|||
cara|||
buku|||
sekolah|||
nomor|||
angka|||
huruf|||
kalimat|||
bahasa|||
cerita|||
sejarah|||
lagu|||
musik|||
suara|||
kabar|||
berita|||
surat|||
koran|||
foto|||
film|||
gambar|||n.;v.
contoh|||
soal|||n.;prep.
masalah|||
macam|||
jenis|||
bentuk|||
ukur|||
isi|||n.;v.
arah|||
peta|||
pulau|||
desa|||
kampung|||
sendiri|||adj.;pron.
punya|||
milik|||
hidup|||v.;adj.;n.;adj.
hidup-hidup|||adv.
mati|||adj.;v.;adj.
lahir|||
tumbuh|||
nikah|||
cinta|||
sayang|||adj.;n.;interj.
benci|||
percaya|||
yakin|||adj.
ragu|||adj.
bohong|||
jujur|||adj.
janji|||
kelompok|||
para|||
memang|||
langsung|||
segar|||adj.
ekor|||n.;cl.
belanja|||v.;n.
yaitu|||
musim|||
hampir|||
tepat|||adj.;adv.
utama|||
dasar|||n.;interj.
asal|||n.;conj.
pokok|||adj.;n.
sumber|||
kanan|||
kiri|||
lurus|||
mandi|||
cuci|||
masak|||
goreng|||adj.;v.
rebus|||adj.;v.
bakar|||v.;adj.
potong|||
belah|||v.;n.
iris|||
sapu|||n.;v.
sikat|||
sabun|||
simpan|||
buang|||
buang-buang|||v.
sampah|||
pilih|||
tentu|||
tunjuk|||
tanda|||
bukti|||
butuh|||
manfaat|||
untung|||n.;v.;adj.
rugi|||
biaya|||
gaji|||
usaha|||
umum|||adj.
khusus|||adj.
pribadi|||
masyarakat|||
rakyat|||
warga|||
perintah|||
pemerintah||perintah|
presiden|||
menteri|||
politik|||
ekonomi|||
sosial|||
budaya|||
seni|||
agama|||
sekitar||kitar|
batas|||
jarak|||
pusat|||
akhir|||
akhir-akhir|||adv.
awal|||
daftar|||n.;v.
catat|||
pesan|||n.;v.
acara|||
pesta|||
ulang|||
ulang tahun|||
raya|||
hadiah|||
biasa|||
biasa-biasa|||adj.
aneh|||adj.
hebat|||adj.
istimewa|||adj.
sibuk|||adj.
santai|||adj.
serius|||adj.;interj.
lucu|||
seru|||adj.
tugas|||
ilmu|||
alat|||
bahan|||
rencana|||
kelas|||
kantor|||
pasar|||
toko|||
warung|||
gedung|||
kamar|||
ruang|||
dapur|||
pintu|||
jendela|||
lantai|||
dinding|||
atap|||
kunci|||n.;v.
lampu|||
listrik|||
mesin|||
mobil|||
motor|||
sepeda|||
bus|||
kereta|||
kereta api|||
pesawat|||
kapal|||
baling-baling|||n.
meja|||
kursi|||
gelas|||
piring|||
sendok|||
garpu|||
pisau|||
botol|||
baju|||
celana|||
sepatu|||
topi|||
kain|||
tas|||
kertas|||
pensil|||
badan|||
tubuh|||
kepala|||
rambut|||
mata|||
hidung|||
mulut|||
telinga|||
gigi|||
lidah|||
tangan|||
kaki|||
jari|||
kulit|||
hati|||
perut|||
darah|||
wajah|||
dahi|||n.
senyum|||
tawa|||
tangis|||
lari|||
renang|||
terbang|||
tiba|||
kembali|||v.;adv.;interj.
balik|||
pindah|||
diam|||adj.;v.
diam-diam|||adv.
tinggal|||
berangkat||angkat|
lewat|||v.;prep.
ikut|||
antar|||
jemput|||
bantu|||
dukung|||
lawan|||n.;v.
menang|||
kalah|||
juara|||
lomba|||
tanding|||v.;n.
latih|||
didik|||
uji|||
nilai|||
tingkat|||
jaga|||
jaga-jaga|||v.
rawat|||
obat|||
sembuh|||
luka|||
jiwa|||
mimpi|||
sadar|||
kaya|||adj.;prep.
miskin|||
hukum|||
atur|||
larang|||
izin|||
setuju||tuju|
tolak|||
dorong|||
tarik|||
angkat|||
pegang|||
lempar|||
tangkap|||
lepas|||adj.;v.
ikat|||
gantung|||
pasang|||v.;n.
tekan|||
bunuh|||
curi|||
perang|||
damai|||
aman|||
bahaya|||
tanam|||
kebun|||
sawah|||
taman|||
alun-alun|||n.
laku|||n.;v.
kira|||
rapi|||adj.
ramai|||adj.
sepi|||adj.
gelap|||adj.
terang|||adj.
jelas|||adj.;adv.
muncul|||
hilang|||adj.;v.
tampak|||
kumpul|||
pisah|||
gabung|||
hubung|||
sambung|||
putus|||
pecah|||
rusak|||
hancur|||
tambah|||
ganti|||
ubah|||
merubah||ubah|v.
kali|||
perkalian||kali|n.
jumlah|||
hasil|||
akibat|||
tuju|||
maksud|||
istirahat|||
siap|||
sedia|||adj.;v.
ternyata||nyata|
nyata|||adj.
sesuai|||
urus|||
sempat|||
sempurna|||adj.
lengkap|||
olahraga|||
bola|||
sepak bola|||
tim|||
rumah sakit|||
orang tua|||
kamar mandi|||
tempat tidur|||
mungkin|||
pasti|||
adil|||adj.
sebut|||
panggil|||
pukul|||v.;n.
masa|||n.;interj.
sebentar||bentar|
umur|||
usia|||
bayi|||
remaja|||
dewasa|||
bahkan|||
apalagi|||
pula|||
pun|||
meski|||
walau|||
biar|||v.;conj.
padahal|||
justru|||
sungguh|||adv.
entah|||interj.;conj.
barangkali|||
daripada|||
sebelah||belah|n.;prep.
hadap|||
hadir|||
tawar|||v.;v.;adj.
serah|||
tonton|||
nyanyi|||
tari|||
pandang|||
sambut|||
puji|||
bayam|||
ucap|||
teriak|||
bisik|||
sapa|||
salam|||
jumpa|||
sampai jumpa|||
pamit|||
suruh|||
ajak|||
mengajaku||ajak|v.
saran|||
usul|||
nasihat|||
kritik|||
keluh|||
protes|||
bahas|||
diskusi|||
debat|||
ancam|||
tipu|||
sumpah|||n.;v.
gosip|||
humor|||
canda|||
anggap|||
duga|||
ramal|||
bayang|||
bayang-bayang|||n.
khayal|||
fokus|||
teliti|||adj.
riset|||
simpul|||
analisis|||
rumus|||
misal|||
yakni|||
demikian|||
kesan|||
alasan|||
alas|||
syarat|||
wajib|||
hak|||
tanggung|||
tanggung jawab|||
luar biasa|||
risiko|||
luang|||
jamin|||
asuransi|||
kebetulan||betul|n.;adv.
sengaja|||
capai|||v.;adj.
raih|||
peroleh||oleh|
laksana|||
wujud|||
susun|||
tata|||
acak|||
kacau|||
berantakan|||adj.
bongkar|||
runtuh|||
bangkit|||
geser|||
titip|||
tunda|||
batal|||
hindar|||
cegah|||
lindung|||
serang|||
bela|||
senjata|||
tembak|||
tendang|||
sentuh|||
genggam|||
peluk|||
cium|||
gigit|||
telan|||
napas|||
nafas|||
hirup|||
tiup|||
keringat|||
gosok|||
jemur|||
setrika|||
jahit|||
paksa|||
desak|||
kejar|||
buru|||
lompat|||
langkah|||
belok|||
putar|||
seberang|||
lintas|||
lalu lintas|||
tumpang|||
angkut|||
muat|||
beban|||
kemas|||
bungkus|||v.;n.
kado|||
amplop|||
pos|||
jembatan|||
stasiun|||
bandara|||
terminal|||
pelabuhan||labuh|
halte|||
tiket|||
sopir|||
bensin|||
parkir|||
macet|||n.;adj.
ban|||
roda|||
layar|||
kondisi|||
situasi|||
posisi|||
lokasi|||
suasana|||
peran|||
tokoh|||
sifat|||
ciri|||
gaya|||
pihak|||
segi|||
unsur|||
faktor|||
sistem|||
proses|||
program|||
metode|||
teori|||
fakta|||
data|||
informasi|||
teknologi|||
teknik|||
komputer|||
laptop|||
internet|||
situs|||
aplikasi|||
ponsel|||
telepon|||n.;v.
televisi|||
radio|||
media|||
jaring|||
sinyal|||
baterai|||
tombol|||
klik|||
ketik|||
cetak|||
salin|||
tempel|||
hapus|||
unduh|||
unggah|||
akun|||
sandi|||
berkas|||
email|||
wartawan|||
siar|||
salur|||
hibur|||
panggung|||
artis|||
gitar|||
wayang|||
lambang|||
bendera|||
patung|||
batik|||
kaus|||
sarung|||
upacara|||
adat|||
suku|||
bangsa|||
provinsi|||
wilayah|||
ibu kota|||
penduduk||duduk|
gang|||
lorong|||
arus|||
lingkung|||
alam|||
cuaca|||
iklim|||
suhu|||
derajat|||
banjir|||
gempa|||
bencana|||
korban|||
badai|||
ombak|||
gelombang|||
kabut|||
salju|||
kemarau|||
kilat|||n.;adj.
asap|||
debu|||
lumpur|||
padi|||
jagung|||
kentang|||
kacang|||
tomat|||
wortel|||
kangkung|||
mangga|||
apel|||
anggur|||
semangka|||
pepaya|||
nanas|||
durian|||
jambu|||
tempe|||
sate|||
bakso|||
soto|||
rendang|||
kerupuk|||
kecap|||
santan|||
bumbu|||
resep|||
nasi goreng|||
restoran|||
hotel|||
menu|||
layan|||
masjid|||
gereja|||
candi|||
istana|||
menara|||
museum|||
kampus|||
universitas|||
kuliah|||
jurus|||
matematika|||
fisika|||
kimia|||
biologi|||
geografi|||
pustaka|||
kamus|||
istilah|||
eja|||
terjemah|||
lulus|||
gagal|||
sukses|||
gelar|||
sarjana|||
beasiswa|||
karya|||
karyawan|||
pegawai|||
jabat|||
pimpin|||
ketua||tua|
wakil|||
anggota|||
panitia|||
rapat|||n.;adj.
lembur|||
cuti|||
lamar|||
wawancara|||
ahli|||
terampil|||adj.
profesi|||
karier|||
bos|||
direktur|||
manajer|||
pabrik|||
industri|||
produk|||
proyek|||
bisnis|||
modal|||
pajak|||
bank|||
tabung|||
pinjam|||
utang|||
hutang|||
dompet|||
kartu|||
tunai|||
rekening|||
diskon|||
langgan|||
iklan|||
promosi|||
merek|||
kualitas|||
mutu|||
undang|||
undang-undang|||n.
bijak|||adj.
hakim|||
saksi|||
penjara|||
denda|||
calon|||
partai|||
gubernur|||
wali|||
dewan|||
lembaga|||
organisasi|||
yayasan|||
komunitas|||
kampanye|||
demo|||
konflik|||
krisis|||
korupsi|||
tuhan|||
allah|||
doa|||
sembah|||
puasa|||v.;n.
salat|||
shalat|||
ibadah|||
haji|||
surga|||
neraka|||
dosa|||
pahala|||
iman|||
makam|||
kubur|||n.;v.
demam|||
batuk|||
pilek|||
flu|||
pusing|||adj.;n.
mual|||
muntah|||
gatal|||
alergi|||
suntik|||
vaksin|||
virus|||
kuman|||
gejala|||
pasien|||
apotek|||
klinik|||
operasi|||
darurat|||
gizi|||
vitamin|||
lemak|||
gemuk|||adj.
kurus|||adj.
langsing|||
hamil|||
peduli|||
hormat|||
setia|||adj.
ikhlas|||
tulus|||adj.
niat|||
semangat|||n.;interj.
malas|||adj.
rajin|||adj.
sopan|||adj.
ramah|||adj.
sombong|||adj.
tenang|||adj.;interj.
sabar|||adj.
kecewa|||adj.
kaget|||adj.
kejut|||
heran|||
bangga|||
iri|||adj.
cemburu|||adj.
khawatir|||adj.
cemas|||adj.
stres|||
rindu|||
kangen|||
kesal|||adj.
ngeri|||
seram|||adj.
kagum|||
kasur|||
bantal|||
selimut|||
handuk|||
cermin|||
sisir|||
lemari|||
rak|||
laci|||
kipas|||
kulkas|||
kompor|||
panci|||
wajan|||
mangkuk|||
cangkir|||
ember|||
paku|||
palu|||
tangga|||
pagar|||
halaman|||
gerbang|||
cat|||
kabel|||
kolam|||
lapang|||
mal|||
bengkel|||
salon|||
kios|||
gudang|||
ladang|||
lembah|||
puncak|||
gua|||n.;pron.
air terjun|||
benua|||
gurun|||
zaman|||
abad|||
jadwal|||
lusa|||
senja|||
fajar|||
subuh|||
persen|||
persis|||
pas|||adj.;conj.
ganjil|||
genap|||
ganda|||
tunggal|||
rata|||
rata-rata|||n.;adv.
inti|||
bab|||
babi|||n.
ayat|||
pasal|||
judul|||
tema|||
topik|||
isu|||
rupa|||
sosok|||
gagah|||adj.
kokoh|||adj.
licin|||adj.
kasar|||adj.
halus|||adj.
tajam|||adj.
bulat|||
kotak|||
garis|||
titik|||
koma|||
sudut|||
pojok|||
tepi|||
pinggir|||
ujung|||
lubang|||
gali|||
tumpuk|||
olah|||
seolah|||
seolah-olah|||
pekan|||
alamat|||
ampun|||
himpun|||
jamu|||
gaul|||adj.;n.
turut|||
absen|||adj.;n.
lebah|||
lalat|||
cicak|||
katak|||
kelinci|||
bebek|||
kerbau|||
rusa|||
singa|||
beruang|||
berang-berang|||n.
buaya|||
hiu|||
paus|||
udang|||
kepiting|||
kerang|||
leher|||
bahu|||
dada|||
punggung|||
pinggang|||
lutut|||
bibir|||
pipi|||
kuku|||
tulang|||
otot|||
otak|||
jantung|||
paman|||
bibi|||
sepupu|||
cucu|||
mertua|||
mas|||
mbak|||
pak|||
bu|||
kak|||
om|||
tante|||
bang|||
tuan|||
nyonya|||
gak|||
nggak|||
ga|||
udah|||
aja|||
banget|||
gitu|||
gini|||
gimana|||
kok|||
sih|||
dong|||
deh|||
kan|||
nih|||
tuh|||
lho|||
loh|||
wah|||
aduh|||
oke|||
hai|||
halo|||
yuk|||
mantap|||
keren|||adj.
asyik|||adj.
galau|||
ribet|||
obrol|||
yg|||
dgn|||
utk|||
tdk|||
krn|||
sdh|||
blm|||
dll|||
dsb|||
senin|||
selasa|||
rabu|||
kamis|||
jumat|||
sabtu|||
januari|||
februari|||
maret|||
april|||
mei|||
juni|||
juli|||
agustus|||
september|||
oktober|||
november|||
desember|||
luar negeri|||
dalam negeri|||
tanda tangan|||
tiba-tiba|||
kadang-kadang|||
hati-hati|||adj.;interj.
oleh-oleh|||
jalan-jalan|||
mata-mata|||
kupu-kupu|||
kura-kura|||
laba-laba|||
lumba-lumba|||
cumi-cumi|||
abu-abu|||
abu|||
gado-gado|||
sayur-mayur|||
macam-macam|||
kira-kira|||
masing-masing|||
sehari-hari|||
buru-buru|||
kau|||
engkau|||
tak|||
takkan||tak|
tidakkan||tidak|
cuma|||
kayak|||
emang|||
sesuatu||suatu|
bilang|||
pria|||
wanita|||
ku|||
tetap|||v.;adv.
pertama|||
gadis|||
tanpa|||
gila|||
sial|||interj.;adj.
mu|||
bagian||bagi|
bodoh|||adj.
sialan||sial|
manusia|||
bagi|||prep.;v.
oh|||
si|||
ok|||
suatu|||
bergerak||gerak|
astaga|||
tau|||
nak|||
nah|||
nya|||
jatuh|||
eh|||
raja|||
bajingan|||
demi|||
kasus|||
amerika|||
permisi|||
wow|||
ide|||
kecuali|||
kapten|||
rahasia|||
agen|||
nona|||
mulia|||
semakin||makin|
bung|||
silahkan|||
okay|||
segalanya||segala|
bertahan||tahan|
putri|||
omong|||
omong-omong|||adv.
semoga|||
brengsek|||
bila|||
tahan|||
sang|||
jahat|||adj.
pasukan|||
perempuan|||
segala|||
mundur|||
barang|||
agak|||
awak|||pron.;n.
benda|||
mengenai||kena|
saling|||
betapa|||
sisi|||
bebas|||
menyesal||sesal|
inggris|||
pintar|||adj.
mampu|||
dolar|||
musuh|||
mohon|||
akal|||
kecelakaan||celaka|
makhluk|||
kabur|||v.;adj.
kini|||
hantu|||
cocok|||adj.
mabuk|||adj.
planet|||
periksa|||
utara|||
kamera|||
dewa|||
cahaya|||
pantas|||adj.;adv.
pahlawan|||
terlibat||libat|
kejahatan||jahat|
misi|||
gue|||
mengganggu||ganggu|
pistol|||
laporan||lapor|
detektif|||
nyaman|||adj.
layak|||
persetan||setan|
penyihir||sihir|
dah|||
monster|||
mayat|||
bom|||
pacar|||
asing|||
bau|||
normal|||
prajurit|||
selatan|||
sebagian||bagian|
kerajaan||raja|
maju|||
tersisa||sisa|
tewas|||
keparat|||
kesepakatan||sepakat|
lu|||
pelacur|||
pangeran|||
peluru|||
binatang|||
pedang|||
bertarung||tarung|
iblis|||
penjahat||jahat|
sobat|||
bertindak||tindak|
menderita||derita|
terimakasih|||
palsu|||
bersembunyi||sembunyi|
menikmati||nikmat|
mama|||
terjebak||jebak|
menahan||tahan|
usah|||
seks|||
mirip|||adj.
berjuang||juang|
truk|||
dendam|||
militer|||
kode|||
sihir|||
minggir|||
kisah|||
alih|||
alih-alih|||conj.
asli|||
menakjubkan||takjub|adj.
awas|||
konyol|||adj.
sisa|||
klub|||
natal|||
jepang|||
putra|||
kencan|||
timur|||
barat|||
menciptakan||cipta|
tukang|||
nyawa|||
kemampuan||mampu|
sersan|||
bir|||
jerman|||
bersikap||sikap|
rekaman||rekam|
menyembunyikan||sembunyi|
darimana|||
telpon|||n.;v.
mantan|||
idiot|||
setan|||
malah|||
pertempuran||tempur|
lelaki|||
super|||
target|||
jenderal|||
jalang|||adj.;n.
rusia|||
india|||
letnan|||
yesus|||
kena|||
tanggal|||
bro|||
lelucon|||
vampir|||
malaikat|||
jalur|||
parah|||adj.
naga|||
cerdas|||adj.
berbagi||bagi|
seksi|||adj.
energi|||
kuno|||
tersangka||sangka|
sejati||jati|
narkoba|||
unit|||
papa|||
cincin|||
kang|||
suci|||adj.
mustahil|||adj.
perahu|||
sebal|||
ledak|||
komandan|||
korea|||
profesor|||
angkasa|||
bocah|||
melanggar||langgar|
jejak|||
lagipula|||
daya|||
serigala|||
pengecut|||
penasaran|||adj.
resmi|||
pertarungan||tarung|
kendali|||
nakal|||adj.
won|||
cina|||
kolonel|||
kemudi|||
liar|||adj.
balas|||
perancis|||
bingung|||adj.
lolos|||
sekarat|||
medis|||
lacak|||
kenang|||
buta|||
sel|||
roh|||
gugup|||adj.
gerak|||
patah|||
takdir|||
departemen|||
apartemen|||
semesta|||
kontak|||
meter|||
sma|||
dana|||
rokok|||
area|||
rekan|||
gas|||
pendeta|||
bapa|||
raksasa|||
malang|||adj.
tenaga|||
spesial|||adj.
stop|||
ajaib|||adj.
episode|||
panik|||
sheriff|||
tenggelam|||
darat|||
robot|||
bekas|||adj.;adj.;n.
tiada|||
kunjung|||
nasional|||
libur|||
beres|||
taksi|||
budak|||
tebak|||
boss|||
pecundang|||
boneka|||
game|||
teroris|||
kelahi|||
lukis|||
bersulang|||
alien|||
tali|||
toilet|||
lapor|||
pantat|||
fungsi|||
akses|||
baby|||
ajukan|||
cek|||n.;v.
sekedar|||
nasib|||
sesat|||
cewek|||
kagak|||
lumayan|||
kendaraan||kendara|
kalo|||
kuasa|||
jaksa|||
harta|||
syukur|||n.;interj.
telanjang|||
racun|||
klien|||
selidik|||
gaun|||
baring|||
krim|||
campur|||
singkir|||
kriminal|||
bangsat|||
payah|||
tongkat|||
pingsan|||
kontrak|||
yahudi|||
band|||
bertengkar||tengkar|
mahkota|||
serikat|||
singkat|||adj.
markas|||
profesional|||
jijik|||
permen|||
ganggu|||
rock|||
kontrol|||
tipe|||
model|||
kutuk|||
tolol|||
trik|||
bakat|||
beliau|||
muka|||
ni|||
lokal|||
jenius|||
lab|||
blok|||
ketat|||adj.
pandai|||
walikota|||
sembunyi|||
lo|||
ilmuwan|||
mantra|||
legenda|||
sebar|||
eropa|||
pengkhianat||khianat|
identitas|||
gay|||
dokumen|||
sinar|||
terowongan|||
mampir|||
barusan|||
mom|||
nikmat|||adj.;n.
fisik|||
helikopter|||
berbagai|||
publik|||
mayor|||
senapan|||
komunikasi|||
lengan|||
nuklir|||
saham|||
file|||
senator|||
berkembang||kembang|
sewa|||
puas|||adj.
papan|||
sepakat|||
peri|||
percakapan||cakap|
penggemar||gemar|
sanggup|||
bakal|||
berkat|||prep.;n.
impian|||
sayap|||
resiko|||
spanyol|||
china|||
emosi|||
nyala|||
dollar|||
banding|||
dna|||
romantis|||adj.
geng|||
sasaran|||
kaisar|||
derita|||
kuil|||
perlahan||lahan|
pensiun|||
senior|||
duka|||
efek|||
madu|||
dansa|||
tingkah|||
kuatir|||adj.
afrika|||
alkohol|||
lancar|||
pilot|||
aksi|||
poin|||
muak|||adj.
oppa|||
culik|||
seragam||ragam|
peristiwa|||
sidik|||
murni|||adj.
meksiko|||
pil|||
rampok|||
ilegal|||
balap|||
aktif|||adj.
agung|||
federal|||
stabil|||adj.
zombie|||
makin|||
italia|||
generasi|||
satelit|||
misteri|||
halang|||
sup|||
rekam|||
kompetisi|||
berlian|||
timbang|||
mahasiswa|||
cadangan|||
tkp|||
sikap|||
tambang|||
asisten|||
pancing|||
tiarap|||
lingkar|||
abai|||
kristus|||
pizza|||
khianat|||
grup|||
alarm|||
alir|||
sipil|||
kru|||
tangguh|||adj.
selinap|||
berontak|||
kanker|||
rebut|||
telat|||
rumor|||
kencing|||
karakter|||
tembok|||
nonton|||
drama|||
adegan|||
kantong|||
tuduh|||
peti|||
benteng|||
cowok|||
penis|||
kredit|||
