# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
they|ils, elles|f3p
'll|(marque le futur)|o
she|elle|f3s
come|venir|v
if|si|o
right|juste, correct; droite (le côté); (interjection) d'accord, bon|o;o;o
want|vouloir|v
out|dehors, à l'extérieur|o
about|sur, au sujet de; environ, à peu près|o;o
up|en haut|o
at|à|o
him|le, lui|o
one|un|o
now|maintenant|o
oh|oh, ah (surprise, prise de conscience)|o
see|voir; comprendre|v;v
well|bien (de bonne façon); eh bien… (en marquant une pause)|o;o
her|la, lui, elle|o
how|comment|o
think|penser|v
will|(marque le futur); (exprime la volonté)|o;o
yeah|ouais, oui|o
look|regarder; regarde! (fais attention)|v;o
've|(avoir: I've seen, j'ai vu)|g
got|eu, participe de get; (have got) avoir|o;v
okay|d'accord, ça va|o
as|comme; pendant que, alors que|o;o
take|prendre|v
good|bon, bien|o
let|laisser, permettre|v
did|forme passée de do|o
who|qui|o
tell|dire (quelque chose à quelqu'un)|v
why|pourquoi|o
from|de, depuis|o
his|son, sa, ses|o
yes|oui|o
time|temps; fois (une occasion)|o;o
make|faire, fabriquer; obliger (à faire)|v;v
when|quand|o
going|allant; (going to) sur le point de|o;o
an|un, une (devant une voyelle)|o
man|homme; (interjection) exprime la surprise|o;o
back|de retour (là où c'était); dos (du corps)|o;o
say|dire|v
us|nous|o
would|(marque le conditionnel)|o
them|les, eux, elles|o
where|où|o
were|tu étais; nous étions, ils étaient|f2s2p;f1p
then|puis, ensuite; alors, dans ce cas|o;o
had|forme passée de have|o
or|ou|o
been|été, participe de be|o
need|avoir besoin de|v
thing|chose|o
our|notre, nos|o
gonna|aller (familier pour going to)|o
really|vraiment, réellement; très, vachement|o;o
thank|remercier; (thank you) merci|v;o
some|quelques, du, de la|o
hey|hé (salut; pour attirer l'attention)|o
give|donner|v
could|pouvait, a pu; pourriez (demande polie)|o;o
'd|(marque le conditionnel: I'd like); (avait: I'd gone)|o;g
didn|(did not, dans didn't)|g
by|près de, à côté de; par (fait par)|o;o
mean|vouloir dire, signifier; méchant, pas gentil|v;o
way|chemin, route; manière, façon|o;o
something|quelque chose|o
has|il/elle a|f3s
little|petit; un peu|o;o
too|aussi, également; trop|o;o
much|beaucoup|o
more|plus, davantage|o
because|parce que|o
talk|parler|v
love|aimer; amour|v;o
down|en bas|o
very|très|o
never|jamais|o
call|appeler (au téléphone); appeler (nommer); appel|v;v;o
people|gens, personnes|o
only|seulement, seul|o
over|au-dessus de; fini, terminé|o;o
guy|type, gars; (guys) les gens, l'un ou l'autre sexe|o;o
day|jour|o
please|s'il vous plaît (demande polie)|o
should|devoir, il faudrait|o
said|forme passée de say|o
sorry|désolé (pour s'excuser); désolé (par compassion)|o;o
off|éteint, enlevé|o
am|je suis|f1s
work|travailler; travail, emploi|v;o
try|essayer|v
any|n'importe quel, du, des|o
two|deux|o
wait|attendre|v
even|même (chose surprenante); plat, égal|o;o
life|vie|o
doing|faisant|o
hello|bonjour, allô|o
help|aider; aide|v;o
sure|sûr, certain; (interjection) oui, bien sûr|o;o
year|an, année|o
these|ces, ceux-ci|o
other|autre|o
stop|arrêter|v
happen|arriver, se passer|v
first|premier|o
into|dans (vers l'intérieur)|o
keep|garder; continuer (à faire)|v;v
find|trouver|v
ask|demander (poser une question); demander (réclamer)|v;v
still|encore, toujours; immobile|o;o
anything|n'importe quoi, quoi que ce soit|o
hear|entendre|v
god|dieu; (oh God) exclamation de choc|o;o
leave|partir, s'en aller; laisser (derrière soi)|v;v
nothing|rien|o
sir|monsieur (adresse polie à un homme)|o
put|mettre, poser|v
their|leur, leurs|o
use|utiliser, se servir de; usage, utilité|v;o
great|génial, très bien; grand, vaste|o;o
long|long|o
uh|euh (en hésitant)|o
again|encore, de nouveau|o
thought|pensé, forme passée de think; pensée, idée|o;o
kill|tuer|v
maybe|peut-être|o
must|devoir, falloir|o
night|nuit|o
before|avant|o
after|après|o
won|gagné, forme passée de win; (dans won't) ne... pas (futur)|o;o
home|maison, chez soi|o
away|loin, absent|o
girl|fille|o
than|que (dans une comparaison)|o
name|nom; nommer|o;v
friend|ami|o
last|dernier; durer|o;v
fuck|(vulgaire) putain, baiser; utilisé pour la colère ou l'insistance|o;o
better|meilleur, mieux|o
everything|tout|o
new|nouveau, neuf|o
start|commencer; début|v;o
always|toujours|o
feel|sentir, ressentir|v
place|endroit, lieu|o
big|grand, gros|o
woman|femme|o
old|vieux, âgé|o
money|argent|o
around|autour|o
doesn|(dans doesn't) ne... pas|f3s
stay|rester|v
lot|(a lot) beaucoup|o
play|jouer; pièce de théâtre|v;o
kid|gamin, enfant; plaisanter|o;v
believe|croire|v
wrong|faux, mauvais|o
bring|apporter, amener (ici)|v
father|père|o
ever|jamais, à un moment quelconque|o
move|bouger, déplacer|v
boy|garçon|o
show|montrer; spectacle, émission|v;o
isn|(dans isn't) n'est pas|f3s
listen|écouter|v
die|mourir|v
which|lequel, quel|o
miss|manquer à (ressentir l'absence); rater (ne pas atteindre); Mademoiselle (titre)|v;v;o
late|tard, en retard|o
nice|sympa, agréable|o
fine|bien, ça va; fin, de bonne qualité|o;o
kind|sorte, genre; gentil, doux|o;o
house|maison|o
understand|comprendre|v
someone|quelqu'un|o
being|étant|o
hand|main|o
meet|rencontrer|v
coming|venant|o
every|chaque, tous les|o
through|à travers|o
lose|perdre (égarer); perdre (un jeu)|v;v
remember|se souvenir de|v
course|cours, série de leçons; (of course) bien sûr|o;o
mother|mère|o
dad|papa, père|o
left|parti, forme passée de leave; gauche (le côté)|o;o
world|monde|o
enough|assez|o
own|propre (à soi); posséder|o;v
care|se soucier; soin, attention|v;o
may|pouvoir (avoir la permission); se peut (possibilité)|o;o
bad|mauvais|o
three|trois|o
might|pourrait, peut-être|o
today|aujourd'hui|o
car|voiture|o
another|un autre|o
minute|minute|o
turn|tourner; tour (à toi de jouer)|v;o
same|même|o
son|fils|o
found|trouvé, forme passée de find|o
else|d'autre, en plus|o
next|prochain, suivant|o
run|courir; diriger (une entreprise)|v;v
live|vivre, habiter|v
mind|esprit; voir un inconvénient, être gêné|o;v
yourself|toi-même, vous-même|o
job|emploi, travail|o
head|tête; se diriger vers|o;v
dead|mort|o
family|famille|o
many|beaucoup de, nombreux|o
worry|s'inquiéter; souci, inquiétude|v;o
wasn|(was not, dans wasn't)|g
baby|bébé|o
room|pièce, chambre; place, espace|o;o
mom|maman, mère|o
watch|regarder; montre (au poignet)|v;o
child|enfant|o
hold|tenir; attends! (patiente)|v;o
best|le meilleur|o
morning|matin|o
hell|enfer; (what the hell) exprime l'agacement|o;o
together|ensemble|o
brother|frère|o
saw|vu, forme passée de see|o
change|changer; monnaie (pièces)|v;o
pay|payer|v
eat|manger|v
end|fin; terminer|o;v
idea|idée|o
real|vrai, véritable|o
forget|oublier|v
problem|problème|o
without|sans|o
wouldn|(would not, dans wouldn't)|g
already|déjà|o
hope|espérer; espoir|v;o
door|porte|o
open|ouvrir; ouvert|v;o
send|envoyer|v
matter|importer, avoir de l'importance; affaire, question|v;o
actually|en fait, en réalité|o
shit|(vulgaire) merde; utilisé pour l'agacement ou la déception|o;o
seem|sembler, paraître|v
hard|dur, difficile; dur, ferme|o;o
happy|heureux, content|o
huh|hein? (pour faire répéter; pour vérifier l'accord)|o
speak|parler|v
both|les deux, tous les deux|o
once|une fois; autrefois, jadis|o;o
bit|(a bit) un peu|o
laugh|rire; un rire|v;o
ready|prêt|o
guess|deviner; (I guess) je suppose|v;f1s
pretty|joli, mignon; assez, plutôt|o;o
wife|femme, épouse|o
drink|boire; boisson, verre|v;o
hour|heure|o
word|mot|o
eye|oeil|o
such|tel, pareil|o
also|aussi, également|o
haven|(have not, dans haven't)|g
yet|encore, jusqu'ici; pourtant, mais|o;o
whole|entier, tout|o
while|pendant que, tandis que|o
since|depuis (à partir de là); puisque, comme|o;o
face|visage, figure; affronter, faire face à|o;v
phone|téléphone; téléphoner|o;v
sleep|dormir; sommeil|v;o
school|école|o
fight|se battre; bagarre, combat|v;o
tomorrow|demain|o
week|semaine|o
tonight|ce soir|o
everyone|tout le monde|o
break|casser, briser; pause|v;o
walk|marcher; promenade|v;o
marry|épouser, se marier|v
wanna|vouloir (familier pour want to)|o
ah|ah (compréhension, soulagement)|o
second|seconde (unité de temps); deuxième (après le premier)|o;o
alone|seul|o
myself|moi-même|o
case|cas, exemple; (in case) au cas où|o;o
check|vérifier; regarder, contrôler|v;v
um|euh (en hésitant)|o
soon|bientôt|o
close|fermer; proche, près|v;o
question|question|o
saying|disant|o
lie|mentir; s'allonger, être couché|v;v
few|peu de, quelques|o
heart|coeur|o
couldn|(could not, dans couldn't)|g
lady|dame, femme|o
buy|acheter|v
gotta|(have got to) devoir, il faut|o
ago|il y a (dans le passé)|o
excuse|(excuse me) pardon, excusez-moi; excuser|o;v
anyone|n'importe qui, quelqu'un|o
sound|son, bruit; sembler, avoir l'air|o;v
until|jusqu'à|o
sit|s'asseoir, être assis|v
become|devenir|v
doctor|médecin, docteur|o
young|jeune|o
police|police|o
business|affaires, commerce; affaire, histoire|o;o
part|partie|o
true|vrai|o
each|chaque|o
point|point, argument; montrer du doigt|o;v
easy|facile|o
deal|accord, marché; (deal with) s'occuper de|o;v
hit|frapper|v
fire|feu; renvoyer, virer; tirer (avec une arme)|o;v;v
hurt|faire mal, blesser|v
music|musique|o
water|eau|o
probably|probablement, sans doute|o
month|mois|o
beautiful|beau, magnifique|o
stuff|trucs, affaires|o
person|personne|o
damn|zut, mince (agacement); satané, fichu|o;o
story|histoire|o
body|corps|o
death|mort|o
order|ordre, commandement; ordre, rangement|o;o
number|nombre, numéro|o
working|travaillant|o
pick|choisir; (pick up) ramasser|v;v
crazy|fou, dingue|o
write|écrire|v
stand|être debout, se tenir; supporter, tolérer|v;v
save|sauver (secourir); garder, économiser|v;v
game|jeu, match|o
exactly|exactement|o
under|sous|o
everybody|tout le monde|o
wish|souhaiter; souhait|v;o
far|loin|o
shut|fermer; tais-toi! (silence)|v;o
chance|occasion, possibilité; hasard, chance|o;o
party|fête, soirée; groupe, parti|o;o
five|cinq|o
plan|plan, projet; prévoir, projeter|o;v
mine|le mien, à moi|o
its|son, sa, ses|o
whatever|n'importe quoi, peu importe|o
answer|réponse; répondre|o;v
aren|(are not, dans aren't)|g
taking|prenant|o
promise|promettre; promesse|v;o
moment|moment, instant|o
interest|intérêt; intéresser|o;v
inside|à l'intérieur, dedans|o
set|poser, mettre; ensemble, jeu|v;o
catch|attraper|v
different|différent|o
high|haut, élevé|o
dear|cher (aimé); Cher (dans une lettre)|o;o
sister|soeur|o
daughter|fille|o
gun|arme à feu, pistolet|o
somebody|quelqu'un|o
light|lumière; léger, pas lourd|o;o
dream|rêve; rêver|o;v
reason|raison|o
side|côté|o
making|faisant|o
afraid|effrayé, qui a peur; (I'm afraid) je regrette|o;f1s
rest|reste, ce qui reste; se reposer|o;v
four|quatre|o
quite|assez, plutôt; tout à fait, complètement|o;o
book|livre|o
anyway|de toute façon, quand même|o
ain|(am not, is not, are not — dans ain't)|g
shall|(propose ou suggère: shall we?)|o
shot|coup de feu; tiré, forme passée de shoot|o;o
fun|amusement, plaisir|o
hate|détester, haïr|v
against|contre|o
feeling|sentiment|o
husband|mari, époux|o
dog|chien|o
cause|cause, raison; parce que (familier)|o;o
important|important|o
line|ligne|o
trust|faire confiance à; confiance|v;o
cut|couper|v
wear|porter (un vêtement)|v
trouble|ennuis, problèmes|o
power|pouvoir, puissance|o
clear|clair, facile à comprendre; dégager, débarrasser|o;v
read|lire|v
nobody|personne|o
ring|bague, anneau; sonner|o;v
mr|Monsieur (titre pour un homme)|o
though|bien que, quoique; pourtant, cependant|o;o
throw|jeter, lancer|v
fall|tomber; automne|v;o
supposed|(supposed to) censé, supposé|o
war|guerre|o
between|entre|o
murder|meurtre; assassiner|o;v
pass|passer; réussir (un examen)|v;v
city|ville|o
truth|vérité|o
sell|vendre|v
pull|tirer|v
blood|sang|o
finish|finir, terminer|v
behind|derrière|o
almost|presque|o
team|équipe|o
able|(be able to) pouvoir, capable de|o
anymore|(ne... plus)|o
couple|deux, quelques; couple (deux personnes)|o;o
office|bureau|o
town|ville|o
welcome|bienvenue; (you're welcome) de rien|o;o
cool|frais (un peu froid); cool, génial|o;o
sign|panneau, signe; signer|o;v
touch|toucher; toucher, contact|v;o
free|gratuit; libre, en liberté|o;o
spend|dépenser (de l'argent); passer (du temps)|v;v
fact|fait|o
yours|le tien, à toi|o
dance|danser; danse|v;o
fast|rapide, vite|o
wow|waouh (admiration, surprise)|o
half|moitié, demi|o
drop|laisser tomber; goutte|v;o
bed|lit|o
either|l'un ou l'autre|o
cry|pleurer|v
country|pays, nation; campagne|o;o
figure|forme, chiffre; comprendre, calculer|o;v
front|avant, devant; (in front of) devant|o;o
learn|apprendre|v
whoa|holà (surprise; du calme)|o
bye|salut, au revoir|o
telling|disant|o
honey|miel (aliment sucré); chéri (appellation affectueuse)|o;o
wonder|se demander; émerveillement|v;o
return|revenir, retourner; rendre, restituer|v;v
stupid|bête, idiot|o
sigh|soupirer|v
sort|sorte, genre; trier, classer|o;v
hurry|se dépêcher, se presser|v
hot|chaud; épicé, piquant; sexy, séduisant|o;o;o
news|nouvelles, informations|o
food|nourriture, aliments|o
date|date (jour du mois); rendez-vous amoureux; sortir avec|o;o;v
follow|suivre; comprendre, suivre le raisonnement|v;v
decide|décider|v
full|plein, rempli; complet, entier|o;o
early|tôt, en avance|o
lord|seigneur, noble; (avec majuscule) le Seigneur, Dieu|o;o
picture|image, photo; film|o;o
black|noir|o
sometimes|parfois, quelquefois|o
along|le long de; avec, en compagnie de|o;o
small|petit|o
foot|pied; pied (mesure de 30 cm)|o;o
expect|s'attendre à; exiger, attendre de|v;v
outside|dehors, à l'extérieur de|o
king|roi|o
funny|drôle, amusant; bizarre, louche|o;o
stick|bâton, bout de bois; coller, se coincer|o;v
grow|grandir, pousser; cultiver|v;v
captain|capitaine|o
chuckle|glousser, rire doucement|v
hang|accrocher, suspendre; pendre (exécuter); (hang out) traîner, passer du temps|v;v;v
human|être humain; humain, des hommes|o;o
em|(dans 'em) les, eux|o
safe|en sécurité, hors de danger; coffre-fort|o;o
six|6|o
street|rue|o
alive|vivant, en vie|o
lead|mener, guider; tête, première place|v;o
drive|conduire; pousser, réduire à; élan, énergie|v;v;o
boss|patron, chef|o
living|vivant; gagne-pain, moyens de vivre|o;o
control|contrôler, maîtriser; contrôle, pouvoir sur|v;o
blow|souffler; (blow up) exploser; coup|v;v;o
parent|parent, père ou mère|o
dinner|dîner, repas principal|o
ahead|devant, en avant|o
surprise|surprise; surprendre, prendre au dépourvu|o;v
state|état, condition; État, nation; déclarer officiellement|o;o;v
company|entreprise, société; compagnie, présence des autres|o;o
force|force; forcer, obliger; forces armées|o;v;o
fly|voler; mouche|v;o
win|gagner, l'emporter|v
shouldn|(dans shouldn't) ne devrait pas|o
running|courant; en marche, en fonctionnement|o;o
white|blanc|o
alright|d'accord, ça va (= all right)|o
million|1 000 000|o
piece|morceau, part; pièce, unité|o;o
ma|(dans ma'am) madame; maman (familier)|o;o
scream|hurler, crier|v
gentleman|monsieur, homme bien élevé|o
perfect|parfait|o
beat|frapper, battre; battre, vaincre; rythme|v;v;o
continue|continuer, poursuivre|v
step|pas; étape; marcher, poser le pied|o;o;v
anybody|n'importe qui|o
secret|secret, caché|o
bitch|(injurieux) garce, salope; chienne; râler, se plaindre|o;o;v
ass|(vulgaire) cul; imbécile; âne|o;o;o
kiss|embrasser|v
shoot|tirer (avec une arme); filmer, tourner|v;v
special|spécial, particulier|o
attack|attaquer; crise, accès (de maladie)|v;o
top|sommet, haut; meilleur; haut (vêtement)|o;o;o
himself|(réfléchi de he) lui-même|o
uncle|oncle|o
sick|malade; dégoûtant, écoeurant; (sick of) marre de|o;o;o
poor|pauvre; à plaindre, malheureux; mauvais, médiocre|o;o;o
perhaps|peut-être|o
report|rapport, compte rendu; signaler, déclarer|o;v
wake|se réveiller, réveiller|v
serious|sérieux, qui ne plaisante pas; grave|o;o
voice|voix|o
sense|sens, signification; bon sens; sens (vue, ouïe); percevoir, sentir|o;o;o;v
red|rouge|o
ha|(exclamation de triomphe ou de mépris)|g
scared|effrayé, qui a peur|o
song|chanson|o
explain|expliquer|v
earth|Terre, monde; terre, sol|o;o
past|passé; au-delà de, après|o;o
mistake|erreur, faute|o
meeting|réunion, rendez-vous|o
possible|possible|o
strong|fort, puissant|o
arm|bras; armer, équiper d'armes|o;v
hair|cheveux, poils|o
cop|flic (familier)|o
master|maître; expert; maîtriser, apprendre à fond|o;o;v
sweet|sucré; gentil, charmant|o;o
cannot|ne pas pouvoir|o
hospital|hôpital|o
ten|10|o
land|terre, pays; atterrir|o;v
glad|content, ravi|o
movie|film (américain)|o
agree|être d'accord; accepter, dire oui|v;v
hmm|hmm (réflexion ou doute)|g
air|air; air, allure|o;o
cold|froid; froid, distant; rhume|o;o;o
charge|inculper, accuser; faire payer; charger (une batterie); responsabilité|v;v;v;o
luck|chance, hasard|o
record|rapport, registre; disque; enregistrer|o;o;v
daddy|papa (mot d'enfant)|o
star|étoile; vedette, star|o;o
cheer|acclamation, hourra; encourager|o;v
key|clé; capital, essentiel; touche|o;o;o
finally|enfin, finalement|o
hide|cacher, se cacher|v
begin|commencer|v
film|film (britannique); filmer; fine couche, pellicule|o;v;o
carry|porter, transporter|v
paper|papier; journal; document|o;o;o
officer|officier, agent|o
clean|propre; nettoyer|o;v
act|agir; jouer (un rôle); acte, loi|v;v;o
dress|robe; habiller, s'habiller|o;v
evening|soir, soirée|o
bet|parier; (I bet) je parie, j'en suis sûr|v;f1s
ship|navire, bateau; expédier (des marchandises)|o;v
allow|permettre, autoriser|v
sex|sexe (masculin ou féminin); rapports sexuels|o;o
till|jusqu'à; caisse (d'un magasin)|o;o
known|connu, participe passé de know|o
road|route, chemin|o
lucky|chanceux, qui a de la chance|o
age|âge; époque, ère|o;o
letter|lettre (message); lettre (de l'alphabet)|o;o
rather|plutôt, de préférence; assez, plutôt|o;o
steal|voler, dérober|v
felt|senti, forme passée de feel|o
grunt|grogner|v
protect|protéger|v
cover|couvrir, recouvrir; couvrir, traiter; abri, protection|v;v;o
join|rejoindre, se joindre à; adhérer à, entrer dans|v;v
sing|chanter|v
ball|balle, ballon; bal|o;o
quiet|silencieux, calme; tranquille, peu animé|o;o
law|loi; la police|o;o
count|compter (les nombres); compter, avoir de l'importance; (count on) compter sur|v;v;v
somewhere|quelque part|o
train|train; former, entraîner|o;v
enjoy|apprécier, aimer|v
knock|frapper, cogner|v
jesus|(exclamation de surprise ou d'agacement)|g
coffee|café|o
test|test, examen; tester, essayer|o;v
fool|imbécile, idiot; duper, tromper|o;v
calling|appelant (au téléphone); appelant, criant à|o;o
choose|choisir|v
horse|cheval|o
lock|serrure; fermer à clé, verrouiller|o;v
bag|sac|o
less|moins|o
teach|enseigner, apprendre à|v
calm|calme; calmer, apaiser|o;v
fix|réparer; arranger, organiser; fixer, attacher|v;v;v
careful|prudent, attentif|o
rock|rocher, pierre; rock (musique); bercer, balancer|o;o;v
fault|faute, responsabilité; défaut|o;o
rule|règle; gouverner, régner|o;v
dude|mec, type (familier)|o
offer|offrir, proposer; offre, proposition|v;o
park|parc; se garer, stationner|o;v
weren|(dans weren't) forme négative de were|o
given|donné, participe passé de give|o
realize|se rendre compte de, réaliser|v
future|avenir, futur|o
quick|rapide|o
straight|droit; tout de suite, directement; honnête, franc|o;o;o
ooh|ooh (surprise ou plaisir)|g
class|classe (groupe d'élèves); cours; classe sociale; classe, qualité|o;o;o;o
mark|marque, trace; noter, corriger; marquer, indiquer|o;v;v
choice|choix (action de choisir); option, possibilité|o;o
arrest|arrêter, mettre en état d'arrestation|v
card|carte|o
imagine|imaginer, se représenter; supposer|v;v
joke|blague, plaisanterie|o
system|système|o
wonderful|merveilleux, formidable|o
mad|en colère, furieux; fou|o;o
push|pousser; pousser, inciter|v;v
absolutely|absolument, tout à fait; (en réponse) certainement|o;o
ride|monter, rouler; trajet, tour|v;o
drug|médicament; drogue|o;o
present|actuel, présent; cadeau; présenter, montrer; présent, là|o;o;v;o
smell|sentir, humer; odeur|v;o
building|bâtiment, immeuble|o
yesterday|hier|o
box|boîte, carton; boxer|o;v
mess|désordre, pagaille; ennuis, embrouille|o;o
president|président|o
darling|chéri, mon amour|o
share|partager; part; action (d'une société)|v;o;o
reach|atteindre, arriver à; tendre la main vers|v;v
burn|brûler|v
leg|jambe|o
forgive|pardonner|v
worth|qui vaut; qui mérite|o;o
pain|douleur, mal|o
message|message|o
swear|jurer, prêter serment; jurer, dire des gros mots|v;v
visit|rendre visite à, visiter|v
build|construire, bâtir|v
fish|poisson; pêcher|o;v
american|américain, des États-Unis; Américain (personne)|o;o
round|rond; manche, tour (d'un concours); tournée (de boissons)|o;o;o
weird|bizarre, étrange|o
destroy|détruire|v
bill|facture, addition; billet (de banque); projet de loi|o;o;o
mouth|bouche|o
notice|remarquer, s'apercevoir de; avis, annonce|v;o
wedding|mariage (cérémonie)|o
court|tribunal; cour (royale); courtiser, faire la cour à|o;o;v
none|aucun, pas un|o
amazing|incroyable, épatant|o
general|général, d'ensemble; général (officier)|o;o
chief|chef; principal, premier|o;o
dark|sombre, obscur; foncé; sombre, lugubre|o;o;o
strange|étrange, bizarre; inconnu, étranger|o;o
station|gare; poste, station|o;o
goodbye|au revoir (en se quittant)|g
fear|peur, crainte; craindre, avoir peur de|o;v
near|près de, proche|o
kick|donner un coup de pied à|v
wall|mur; barrière, obstacle|o;o
brain|cerveau; intelligence, cervelle|o;o
arrive|arriver|v
handle|gérer, se débrouiller avec; poignée, manche|v;o
shop|magasin, boutique; faire des courses|o;v
bar|bar; barre (de métal); barrer, bloquer|o;o;v
happening|qui se passe, en cours|o
prove|prouver|v
study|étudier; bureau, cabinet de travail|v;o
busy|occupé, chargé; occupé, pris|o;o
'am|(dans ma'am) madame|o
crime|crime, délit|o
animal|animal|o
tired|fatigué; (tired of) lassé de, marre de|o;o
bastard|(insulte) salaud, ordure; bâtard, enfant naturel|o;o
service|service (aux clients); office religieux; armée, service militaire|o;o;o
judge|juge; juger, se faire une opinion sur|o;v
thousand|1 000|o
ground|sol, terre; raison, motif|o;o
suppose|supposer, présumer|v
blue|bleu|o
mile|mille (1,6 km)|o
group|groupe|o
search|chercher, fouiller; recherche, fouille|v;o
eh|hein (pour faire approuver ou répéter)|g
accept|accepter|v
hotel|hôtel|o
deep|profond; profond, difficile à saisir|o;o
idiot|idiot, imbécile|o
short|court, petit; bref, de courte durée|o;o
jump|sauter|v
table|table; tableau, table de chiffres|o;o
buddy|copain, pote (familier)|o
birthday|anniversaire|o
during|pendant, durant|o
weapon|arme|o
camera|appareil photo, caméra|o
evidence|preuves, indices|o
club|club, association; boîte de nuit; massue, gourdin|o;o;o
honor|honneur, réputation; honorer, rendre hommage à|o;v
seat|siège, place|o
agent|agent, représentant; agent (de l'État)|o;o
tree|arbre|o
tv|télé, télévision|o
create|créer|v
completely|complètement, entièrement|o
glass|verre (matière); verre (récipient)|o;o
security|sécurité; sécurité, service de garde|o;o
totally|totalement, à fond (familier)|o
area|zone, quartier; superficie, surface|o;o
treat|traiter, se comporter avec; soigner; petit plaisir, gâterie|v;v;o
bank|banque; rive, berge|o;o
floor|sol, plancher; étage|o;o
born|né|o
information|informations, renseignements|o
situation|situation|o
instead|à la place, plutôt|o
definitely|certainement, sans aucun doute|o
victim|victime|o
certainly|certainement, sûrement; (en réponse) bien sûr|o;o
prepare|préparer, se préparer|v
smart|intelligent, malin; élégant, soigné|o;o
consider|considérer, réfléchir à|v
christmas|Noël|o
raise|lever, soulever; élever (un enfant); augmentation de salaire|v;v;o
unless|à moins que, sauf si|o
seven|7|o
clothes|vêtements|o
respect|respect, estime; respecter|o;v
smoke|fumée; fumer|o;v
escape|s'échapper, s'évader|v
window|fenêtre|o
hasn|(dans hasn't) n'a pas|f3s
boat|bateau, barque|o
cook|cuisiner, faire cuire; cuisinier|v;o
waste|gaspiller; déchets, ordures|v;o
bother|déranger, ennuyer; se donner la peine de|v;v
soul|âme; âme, personne|o;o
history|histoire (étude); passé, histoire|o;o
trip|voyage, excursion; trébucher|o;v
cell|cellule (de prison); cellule (du vivant); portable|o;o;o
terrible|terrible, affreux|o
army|armée (de terre)|o
simple|simple, facile; simple, sans complication|o;o
hundred|100|o
relax|se détendre, se relaxer|v
guard|garde, gardien; garder, protéger|o;v
except|sauf, excepté|o
detective|inspecteur, enquêteur|o
broke|cassé, forme passée de break; fauché, sans argent|o;o
lovely|beau, charmant|o
seriously|sérieusement, avec sérieux; vraiment, franchement|o;o
forever|pour toujours, éternellement|o
entire|entier, tout|o
space|espace, place; espace (au-delà de la Terre)|o;o
mention|mentionner, signaler|v
gasp|avoir le souffle coupé, haleter|v
track|piste, voie; morceau, plage; suivre, pister|o;o;v
across|à travers, de l'autre côté de|o
patient|patient, malade; patient, qui sait attendre|o;o
marriage|mariage (union); mariage, noces|o;o
fair|juste, équitable; clair, blond; fête foraine|o;o;o
single|seul, unique; célibataire|o;o
list|liste|o
experience|expérience, vécu; vivre, connaître|o;v
bird|oiseau|o
middle|milieu, centre|o
