# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
love|amar, querer; amor|v;o
down|abajo, hacia abajo; por, a lo largo de (calle abajo); triste, deprimido|o;o;o
very|muy|o
never|nunca|o
call|llamar (por teléfono); llamar (poner nombre); una llamada|v;v;o
people|gente, personas; pueblo, nación|o;o
only|solo, únicamente; único (hijo único)|o;o
over|sobre, encima; terminado, acabado; al otro lado, a través de; durante (over the weekend: durante el fin de semana); por, sobre (a fight over money: una pelea por dinero); over here / over there: aquí, allá|o;o;o;o;o;n
guy|tipo, hombre; (guys) gente, de cualquier sexo|o;o
day|día, veinticuatro horas; día (no noche)|o;o
please|por favor (pedido cortés)|o
should|debería|o
said|forma pasada de say|o
sorry|perdón, disculpa (al disculparse); lo siento (sentir pena)|o;o
off|fuera (de un lugar o superficie); apagado; libre (día libre); pasado, estropeado (comida)|o;o;o;o
am|yo soy, estoy|f1s
try|intentar, tratar de|v
any|algún, cualquier|o
two|dos|o
wait|esperar|v
even|incluso (sorprendentemente); parejo, nivelado|o;o
life|vida|o
doing|haciendo|o
hello|hola|o
help|ayudar; ayuda|v;o
sure|seguro, cierto; (interjección) sí, claro|o;o
year|año|o
these|estos, estas|o
other|otro|o
happen|pasar, ocurrir|v
first|primero; primero, antes de nada; at first: al principio|o;o;n
into|dentro de, hacia adentro; aficionado a (me encanta la música)|o;o
keep|guardar, quedarse con; seguir (haciendo)|v;v
find|encontrar|v
ask|preguntar (una pregunta); pedir|v;v
still|todavía (aún ahora); quieto, inmóvil; aun así, sin embargo|o;o;o
anything|algo, cualquier cosa|o
hear|oír, escuchar|v
god|dios; oh God: exclamación de sorpresa|o;n
nothing|nada|o
sir|señor (trato cortés a un hombre)|o
put|poner, colocar|v
their|su (de ellos)|o
use|usar; uso, utilidad|v;o
great|genial, muy bueno; grande, enorme|o;o
long|largo, que dura mucho; largo; anhelar, desear mucho|o;o;v
uh|eh (al dudar)|o
again|otra vez, de nuevo|o
thought|pensó, pasado de think; un pensamiento, una idea|o;o
kill|matar|v
maybe|quizá, tal vez|o
must|deber, tener que|o
night|noche|o
before|antes de; delante de; antes (ya lo he visto antes)|o;o;o
after|después de; detrás de, tras; en busca de (la policía lo busca)|o;o;o
home|a casa, en casa (ir a casa); casa, hogar|o;o
away|lejos, a otro lugar; a distancia (a dos millas); fuera, ausente|o;o;o
girl|niña, muchacha|o
than|que (en comparaciones)|o
name|nombre; nombrar|o;v
friend|amigo|o
fuck|(vulgar) coger, joder; se usa para enojo o énfasis|o;o
better|mejor; mejor, recuperado; had better: más vale que, debería|o;o;n
everything|todo|o
new|nuevo, recién hecho; nuevo, desconocido; nuevo, distinto (un trabajo nuevo)|o;o;o
start|empezar, comenzar; el comienzo|v;o
always|siempre|o
feel|sentir|v
place|lugar, sitio; casa (en mi casa); puesto (primer puesto); colocar, poner|o;o;o;v
big|grande; grande, importante; mayor (hermano mayor)|o;o;o
woman|mujer|o
old|viejo; antiguo, ex (mi antigua escuela); de edad (diez años de edad)|o;o;o
money|dinero|o
around|alrededor de; por aquí y por allá; alrededor de, más o menos|o;o;o
stay|quedarse|v
play|jugar; una obra de teatro|v;o
kid|niño, chamaco; bromear|o;v
believe|creer|v
wrong|equivocado, incorrecto; malo, inmoral; que falla (¿qué pasa?)|o;o;o
bring|traer (hacia acá)|v
father|padre; padre (título de un sacerdote)|o;o
ever|alguna vez|o
move|mover, moverse|v
boy|niño, muchacho|o
show|mostrar; un programa, un espectáculo|v;o
listen|escuchar|v
die|morir|v
which|cuál, que|o
miss|extrañar (sentir la ausencia); fallar (no atinar); señorita (título); (missing) perdido, desaparecido, que falta|v;v;o;o
late|tarde, con retraso; tarde (a altas horas de la noche); difunto (el difunto rey)|o;o;o
nice|agradable, simpático|o
kind|tipo, clase; amable, bondadoso; (kind of) algo, un poco, más o menos|o;o;o
house|casa|o
understand|entender, comprender|v
someone|alguien|o
being|siendo, estando; ser, criatura viva|o;o
meet|conocer, encontrarse con|v
coming|viniendo|o
every|cada, todos|o
through|a través de, de un lado a otro; por, mediante; terminado (he terminado con eso)|o;o;o
lose|perder (extraviar); perder (un juego)|v;v
remember|recordar, acordarse|v
course|curso, serie de clases; of course: por supuesto|o;n
mother|madre|o
dad|papá|o
left|dejó, pasado de leave; izquierda (el lado)|o;o
world|mundo; mundo, ámbito (el mundo del arte)|o;o
enough|suficiente, bastante|o
own|propio (de uno mismo); poseer, ser dueño de|o;v
care|importar, preocuparse; cuidado, atención|v;o
bad|malo, de mala calidad; malvado; grave, fuerte (un resfriado fuerte)|o;o;o
three|tres|o
might|podría, posiblemente|o
today|hoy; hoy en día, actualmente|o;o
car|carro, coche|o
another|otro más; otro, uno distinto|o;o
minute|minuto; momento (espera un momento); diminuto, minúsculo|o;o;o
turn|girar, voltear; un turno|v;o
same|mismo, igual|o
son|hijo|o
found|encontró, pasado de find; fundar, establecer|o;v
else|más, otro, además|o
next|siguiente, próximo; next to: al lado de|o;n
run|correr; dirigir (un negocio)|v;v
mind|mente; importar, molestarse; tener cuidado con (mind the step: cuidado con el escalón)|o;v;v
yourself|tú mismo, usted mismo|o
job|trabajo, empleo|o
head|cabeza; dirigirse, ir hacia; jefe, líder|o;v;o
dead|muerto; sin funcionar, agotado (una batería agotada); totalmente (muerto de cansancio)|o;o;o
family|familia|o
many|muchos|o
worry|preocuparse; preocupación|v;o
baby|bebé; cariño (al dirigirse a alguien)|o;o
room|cuarto, habitación; espacio, lugar|o;o
mom|mamá|o
watch|ver, mirar; reloj (de pulsera)|v;o
child|niño|o
hold|sostener, agarrar; hold on! (espera)|v;o
best|el mejor|o
morning|mañana|o
hell|infierno; what the hell: expresa fastidio|o;n
together|juntos|o
brother|hermano|o
saw|vio, pasado de see; sierra; serrar|o;o;v
eat|comer|v
end|fin, final; terminar|o;v
idea|idea|o
real|real, auténtico|o
forget|olvidar|v
problem|problema|o
without|sin|o
already|ya|o
hope|esperar; esperanza|v;o
door|puerta|o
open|abrir; abierto|v;o
send|enviar, mandar|v
actually|en realidad, de hecho|o
shit|(vulgar) mierda; se usa para fastidio o desánimo|o;o
seem|parecer|v
happy|feliz, contento; dispuesto (encantado de ayudar)|o;o
huh|¿eh? (para pedir que repitan; para confirmar)|o
speak|hablar|v
both|ambos, los dos|o
laugh|reír; una risa|v;o
ready|listo|o
guess|adivinar; I guess: supongo|v;n
pretty|bonito, guapo; bastante, algo|o;o
wife|esposa|o
drink|beber, tomar; una bebida|v;o
hour|hora|o
word|palabra; palabra, promesa (tienes mi palabra); noticias (¿sabes algo de él?)|o;o;o
eye|ojo|o
such|tal, semejante|o
also|también|o
yet|todavía, hasta ahora; sin embargo, pero|o;o
whole|entero, completo|o
since|desde (desde entonces); ya que, porque|o;o
face|cara, rostro; enfrentar, afrontar|o;v
phone|teléfono; llamar por teléfono|o;v
sleep|dormir; sueño|v;o
school|escuela|o
fight|pelear; una pelea|v;o
tomorrow|mañana|o
week|semana|o
tonight|esta noche|o
everyone|todos|o
break|romper; un descanso, una pausa|v;o
walk|caminar; una caminata|v;o
marry|casarse con|v
wanna|querer (informal)|o
ah|ah (al comprender, de alivio)|o
second|segundo (unidad de tiempo); segundo (después del primero)|o;o
alone|solo|o
myself|yo mismo|o
um|em (al dudar)|o
soon|pronto|o
close|cerrar; cerca, cercano|v;o
question|pregunta; cuestión, asunto; interrogar, cuestionar|o;o;v
few|pocos, no muchos|o
heart|corazón (órgano); corazón, sentimientos, amor; centro, corazón (el centro de la ciudad); by heart: de memoria|o;o;o;n
lady|señora, dama|o
buy|comprar|v
gotta|(have got to) deber, tener que|o
ago|hace (tiempo atrás)|o
anyone|alguien, cualquiera|o
sound|sonar, parecer; sonido|v;o
until|hasta|o
sit|sentarse|v
become|volverse, llegar a ser|v
doctor|doctor, médico|o
young|joven|o
police|policía|o
business|negocio; asunto|o;o
part|parte, pedazo; papel (en una obra o película); separar, separarse|o;o;v
true|verdadero, cierto; auténtico, real; fiel, leal|o;o;o
each|cada|o
easy|fácil; tranquilo, relajado; ¡con cuidado!, despacio|o;o;o
fire|fuego; despedir (del trabajo); disparar (un arma)|o;v;v
hurt|lastimar, doler|v
music|música|o
water|agua; regar (plantas)|o;v
probably|probablemente|o
month|mes|o
beautiful|hermoso, bello|o
stuff|cosas|o
person|persona|o
damn|maldición (fastidio); maldito|o;o
story|historia, cuento; piso, planta (de un edificio)|o;o
body|cuerpo; cadáver; organismo (un órgano de gobierno)|o;o;o
death|muerte|o
number|número|o
working|trabajando; que funciona; con empleo, que trabaja|o;o;o
pick|recoger, levantar; escoger, elegir|v;v
crazy|loco|o
write|escribir|v
stand|estar de pie, pararse; soportar, aguantar|v;v
save|salvar (rescatar); guardar (conservar)|v;v
game|juego; partido; caza (animales)|o;o;o
exactly|exactamente; ¡exacto! (para asentir)|o;o
under|debajo de, bajo; menos de (menos de cinco)|o;o
everybody|todos|o
wish|desear; un deseo|v;o
shut|cerrar; shut up! (cállate)|v;o
chance|oportunidad; suerte, azar|o;o
party|fiesta (celebración); grupo, partido|o;o
five|cinco|o
plan|plan; planear|o;v
its|su (de ello)|o
whatever|lo que sea|o
answer|respuesta; responder, contestar|o;v
taking|tomando|o
promise|prometer; una promesa|v;o
moment|momento|o
inside|adentro, dentro|o
set|poner, colocar; conjunto, juego|v;o
catch|atrapar, agarrar|v
different|diferente, distinto|o
high|elevado (precios altos); alto; drogado, colocado; high school: preparatoria, escuela secundaria|o;o;o;n
sister|hermana|o
daughter|hija|o
gun|pistola, arma|o
somebody|alguien|o
dream|sueño; soñar|o;v
reason|razón, motivo|o
side|lado, borde, cara; bando, equipo; costado (en el costado izquierdo)|o;o;o
making|haciendo|o
afraid|con miedo, asustado; I'm afraid: lamento decir|o;n
rest|el resto, lo que queda; descansar|o;v
four|cuatro|o
quite|bastante, algo; del todo, completamente|o;o
anyway|de todos modos|o
shall|(al ofrecer o sugerir: shall we?, ¿vamos?)|o
shot|disparó, pasado de shoot; un disparo|o;o
fun|diversión|o
hate|odiar|v
against|contra, en contra de; contra, apoyado en (contra la pared)|o;o
feeling|sintiendo; sentimiento, emoción; sensación, presentimiento (tengo la sensación de que)|o;o;o
husband|esposo|o
dog|perro|o
important|importante|o
line|línea, raya; cola, fila; línea, renglón (de texto); línea (telefónica); frase, texto (de un actor)|o;o;o;o;o
trust|confiar en; confianza|v;o
cut|cortar|v
wear|llevar puesto, usar|v
trouble|problemas, dificultades; molestar|o;v
power|poder, autoridad; fuerza, potencia; electricidad, corriente (apagón)|o;o;o
read|leer|v
nobody|nadie|o
ring|anillo (joya); sonar, timbrar|o;v
mr|Sr. (título para un hombre)|o
though|aunque; sin embargo|o;o
throw|lanzar, tirar|v
war|guerra|o
between|entre|o
murder|asesinato; asesinar|o;v
pass|pasar; aprobar (un examen); pass away: fallecer, morir; ser aprobado (una ley); un pase, un permiso|v;v;n;v;o
city|ciudad|o
truth|verdad|o
sell|vender|v
pull|jalar, tirar de|v
blood|sangre|o
finish|terminar|v
behind|detrás de; atrasado, con retraso (retrasado respecto al plan); a favor de, apoyando|o;o;o
almost|casi|o
team|equipo|o
able|(be able to) poder, ser capaz de|o
anymore|ya no|o
couple|un par, dos; una pareja|o;o
office|oficina; cargo (en el poder)|o;o
town|pueblo, ciudad|o
welcome|bienvenido; you're welcome: de nada|o;n
cool|fresco (algo frío); genial, excelente|o;o
sign|letrero, señal; firmar|o;v
free|gratis, sin costo; libre, no atrapado|o;o
spend|pasar (tiempo); gastar (dinero)|v;v
fact|hecho|o
don't|no (forma la negación)|f3s
doesn't|no (negación con he/she/it)|f3s
didn't|no (negación en pasado)|f3s
isn't|no es, no está|f3s
aren't|no eres, no son, no estamos|f3s
wasn't|no era, no estaba|f3s
haven't|no he, no hemos|f3s
couldn't|no podía, no pude|o
wouldn't|no lo haría (condicional negado)|o
ain't|no soy, no es, no son (informal)|f3s
won't|no lo hará (futuro negado)|o
can't|no puedo, no puede|o
i'm|yo soy, yo estoy|f1s
you're|tú eres, tú estás|f2s2p
we're|nosotros somos, estamos|f1p
they're|ellos son, están|f3p
he's|él es, está; él ha, tiene|f3s;f3s
she's|ella es, está; ella ha, tiene|f3s;f3s
it's|es, está; ha, tiene|f3s;f3s
that's|eso es|o
there's|hay|o
what's|qué es|o
who's|quién es|o
where's|dónde está|o
let's|vamos a (al hacer una sugerencia)|o
i've|yo he|f1s
you've|tú has|f2s2p
we've|nosotros hemos|f1p
i'll|yo lo haré (futuro)|f1s
you'll|tú lo harás (futuro)|f2s2p
we'll|nosotros lo haremos (futuro)|f1p
i'd|yo lo haría; yo había|f1s;f1s
you'd|tú lo harías; tú habías|f2s2p;f2s2p
't|no (en don't, can't, isn't)|o
'm|yo soy, yo estoy|f1s
don|(do not, en don't)|g
're|tú eres, estás; nosotros/ellos somos, son|f2s2p;f1p
'll|(marca el futuro)|o
didn|(did not, en didn't)|g
won|ganó, pasado de win; (en won't) no lo hará|o;o
doesn|(en doesn't) no (con he/she/it)|f3s
isn|(en isn't) no es|f3s
wasn|(was not, en wasn't)|g
wouldn|(would not, en wouldn't)|g
haven|(have not, en haven't)|g
couldn|(could not, en couldn't)|g
aren|(are not, en aren't)|g
ain|(no soy, no es, no son — en ain't)|g
yours|tuyo, suyo, lo que te pertenece|o
dance|bailar; un baile|v;o
wow|guau (admiración, sorpresa)|o
half|mitad, medio|o
drop|dejar caer, soltar; una gota|v;o
bed|cama|o
either|cualquiera de los dos|o
country|país, nación; campo, zona rural|o;o
figure|figura, forma o cifra; imaginarse, deducir|o;v
front|frente, parte delantera; in front of: delante de|o;n
learn|aprender|v
whoa|whoa, epa (sorpresa; para frenar)|o
bye|adiós, chao|o
telling|diciendo, contando|o
honey|miel (alimento dulce); cariño, mi amor (trato afectuoso)|o;o
wonder|preguntarse; asombro, maravilla|v;o
return|volver, regresar; devolver|v;v
stupid|tonto, poco inteligente|o
sigh|suspirar, soltar aire de cansancio o alivio|v
hurry|apurarse, darse prisa|v
hot|caliente; picante; atractivo|o;o;o
news|noticias, informes de hechos recientes|o
food|comida, lo que se come|o
date|fecha del mes; cita romántica; salir con alguien|o;o;v
follow|seguir; entender|v;v
decide|decidir, elegir|v
full|lleno; completo|o;o
early|temprano, antes de lo usual|o
lord|noble, señor; (con mayúscula) Dios|o;o
picture|imagen, foto; película|o;o
sometimes|a veces, no siempre|o
along|a lo largo de; junto con|o;o
small|pequeño, chico|o
foot|pie (parte del cuerpo); pie, medida de 30 cm|o;o
expect|esperar que algo pase; exigir|v;v
outside|afuera de, fuera de|o
king|rey|o
funny|gracioso, chistoso; raro, sospechoso|o;o
stick|pegar, quedarse pegado; palo, vara|v;o
captain|capitán (de un barco, equipo o unidad)|o
chuckle|reírse por lo bajo|v
human|ser humano; humano, de las personas|o;o
em|(en 'em) los, las, ellos|o
safe|a salvo, fuera de peligro; caja fuerte|o;o
six|6|o
street|calle|o
alive|vivo, con vida|o
lead|guiar, ir adelante; el primer lugar; plomo|v;o;o
drive|manejar, conducir; llevar a un estado; impulso, energía|v;v;o
boss|jefe|o
living|vivo; el sustento, cómo se gana la vida; (de live) viviendo, que vive (living in London: viviendo en Londres); living room: sala, salón|o;o;o;n
control|control, poder sobre algo; controlar, dominar|o;v
blow|soplar; blow up: explotar; golpe fuerte|v;n;o
parent|padre o madre|o
dinner|la comida principal del día, cena|o
ahead|adelante, más adelante|o
surprise|sorpresa; sorprender, agarrar desprevenido|o;v
state|estado, nación; estado, condición; declarar formalmente|o;o;v
company|empresa, compañía; compañía, estar acompañado|o;o
force|fuerza física; obligar a alguien; cuerpo armado|o;v;o
fly|volar; mosca|v;o
win|ganar, vencer|v
shouldn|(en shouldn't) no debería|o
running|corriendo; funcionando|o;o
alright|bien, de acuerdo (= all right)|o
million|1.000.000|o
piece|pedazo, parte; pieza, una sola cosa|o;o
ma|(en ma'am) señora; mamá (informal)|o;o
scream|gritar de miedo o dolor|v
gentleman|caballero|o
perfect|perfecto, sin fallas|o
beat|golpear repetidamente; vencer, derrotar; ritmo|v;v;o
continue|continuar, seguir|v
step|paso; etapa de un proceso; pisar; un escalón (the front steps: la escalinata de la entrada)|o;o;v;o
anybody|cualquiera, alguien|o
bitch|(ofensivo) mujer malvada; perra; quejarse|o;o;v
ass|(vulgar) trasero; tonto; burro|o;o;o
kiss|besar|v
shoot|disparar; filmar|v;v
special|especial, no común|o
attack|atacar, agredir; ataque de una enfermedad|v;o
top|la parte de arriba; el mejor; blusa, prenda de arriba|o;o;o
himself|(reflexivo de he) él mismo, sí mismo|o
uncle|tío|o
sick|enfermo; asqueroso; sick of: harto de|o;o;n
poor|pobre, con poco dinero; que da lástima; de mala calidad|o;o;o
perhaps|quizá, tal vez|o
report|informe, reporte; informar oficialmente|o;v
wake|despertar, despertarse|v
serious|serio, que no bromea; grave, severo|o;o
voice|voz|o
sense|sentido, significado; buen juicio; sentido (de los cinco); percibir, notar|o;o;o;v
red|rojo|o
ha|(exclamación de triunfo o burla)|g
scared|asustado, con miedo|o
song|canción|o
explain|explicar, aclarar|v
earth|la Tierra, el mundo; tierra, suelo|o;o
past|el pasado; más allá de, pasando|o;o
mistake|error, equivocación|o
meeting|reunión, junta|o
possible|posible|o
strong|fuerte|o
arm|brazo; armar, dar armas|o;v
hair|pelo, cabello|o
cop|policía (informal)|o
master|amo, dueño; maestro, experto; dominar, aprender a fondo|o;o;v
sweet|dulce; tierno, encantador|o;o
cannot|no poder|o
hospital|hospital|o
ten|10|o
land|tierra, terreno, país; aterrizar|o;v
glad|contento, alegre por algo|o
movie|película (americano)|o
agree|estar de acuerdo; aceptar, decir que sí|v;v
hmm|(sonido de duda o de estar pensando)|g
air|aire; aire, apariencia|o;o
cold|frío; frío, poco amistoso; resfriado|o;o;o
charge|acusar formalmente; cobrar un precio; cargar de energía; responsabilidad, cargo|v;v;v;o
luck|suerte|o
record|registro, constancia escrita; disco de música; grabar|o;o;v
daddy|papi (palabra de niño)|o
star|estrella (del cielo); estrella, artista famoso|o;o
key|llave; clave, lo más importante; tecla|o;o;o
finally|por fin, al final|o
hide|esconder, ocultar|v
begin|empezar, comenzar|v
film|película (británico); filmar; capa delgada|o;v;o
paper|papel; periódico; documento|o;o;o
officer|oficial, agente (de la policía o del ejército)|o
clean|limpio; limpiar|o;v
act|actuar, hacer algo; actuar, hacer un papel; acto, ley|v;v;o
dress|vestido; vestir, vestirse|o;v
evening|la tarde-noche, el final del día|o
bet|apostar; I bet: seguro que|v;n
ship|barco; enviar mercancía|o;v
allow|permitir, dejar|v
sex|sexo, masculino o femenino; sexo, el acto físico|o;o
till|hasta; caja registradora|o;o
known|conocido, participio de know|o
road|carretera, camino|o
lucky|afortunado, con suerte|o
age|edad; época, era|o;o
letter|carta; letra|o;o
rather|más bien, preferentemente; bastante, algo|o;o
steal|robar|v
felt|sintió, pasado de feel; fieltro|o;o
grunt|gruñir, hacer un sonido grave|v
protect|proteger, resguardar|v
cover|cubrir, tapar; cubrir, abarcar; protección, resguardo|v;v;o
join|juntarse con, unirse a; hacerse miembro de|v;v
sing|cantar|v
ball|pelota, balón; baile formal|o;o
quiet|callado, silencioso; tranquilo, poco concurrido|o;o
law|ley; la policía|o;o
count|contar (números); contar, importar; count on: contar con|v;v;n
somewhere|en algún lugar, a algún lugar|o
train|tren; entrenar, capacitar|o;v
enjoy|disfrutar de|v
knock|golpear, tocar la puerta|v
coffee|café|o
test|prueba, examen; probar, poner a prueba|o;v
fool|tonto; engañar|o;v
calling|llamando (por teléfono); llamando a gritos|o;o
choose|escoger, elegir|v
horse|caballo|o
lock|cerrar con llave; cerradura, chapa|v;o
bag|bolsa, bolso|o
less|menos|o
teach|enseñar|v
fix|reparar, arreglar; arreglar, organizar; fijar, sujetar|v;v;v
careful|cuidadoso, con cuidado|o
rock|roca, piedra grande; rock (música); mecer, balancear|o;o;v
fault|culpa; defecto, falla|o;o
rule|regla, norma; gobernar|o;v
dude|tipo, güey (informal)|o
offer|ofrecer, proponer; oferta, propuesta|v;o
park|estacionar; parque; car park: estacionamiento|v;o;n
weren|(en weren't) forma negativa de were|o
given|dado, participio de give|o
realize|darse cuenta de, comprender|v
future|el futuro|o
quick|rápido, breve|o
straight|directamente, enseguida; derecho, no torcido; honesto|o;o;o
ooh|(exclamación de sorpresa o placer)|g
class|clase, grupo de alumnos; clase, lección; clase social; clase, calidad|o;o;o;o
mark|marca, mancha; calificar; señalar el lugar de|o;v;v
choice|elección, el acto de elegir; opción disponible|o;o
arrest|arrestar, detener|v
card|tarjeta (para mensajes, juegos o pagos)|o
imagine|imaginar; suponer|v;v
system|sistema|o
wonderful|maravilloso, estupendo|o
mad|enojado; loco|o;o
push|empujar; presionar, insistir|v;v
absolutely|absolutamente, completamente; (como respuesta) claro que sí|o;o
ride|montar, viajar (a caballo o en vehículo); viaje, paseo|v;o
drug|medicamento; droga ilegal|o;o
present|presente, actual; regalo; presentar, mostrar; presente, que asiste|o;o;v;o
smell|oler; olor; oler (it smells good: huele bien)|v;o;v
building|edificio|o
yesterday|ayer|o
box|caja; boxear|o;v
president|presidente|o
darling|querido, cariño|o
share|compartir; parte, porción; acción (de una empresa)|v;o;o
reach|llegar a; alcanzar, estirarse para tocar|v;v
burn|arder, quemar|v
leg|pierna|o
forgive|perdonar|v
worth|que vale; digno de|o;o
pain|dolor|o
message|mensaje, recado|o
swear|jurar solemnemente; decir groserías|v;v
visit|visitar|v
build|construir|v
fish|pez, pescado; pescar|o;v
american|estadounidense; estadounidense, persona de Estados Unidos|o;o
weird|raro, extraño e inquietante|o
destroy|destruir por completo|v
bill|cuenta, monto a pagar; billete; proyecto de ley|o;o;o
mouth|boca|o
notice|notar, darse cuenta de; aviso escrito|v;o
wedding|boda, casamiento|o
court|tribunal, corte; corte real; cortejar|o;o;v
none|ninguno, nada|o
amazing|asombroso, impresionante|o
general|general, que abarca a todos; general (militar de alto rango)|o;o
chief|jefe, líder; principal, más importante|o;o
dark|oscuro, sin luz; oscuro (de color); sombrío|o;o;o
strange|raro, poco común; desconocido|o;o
station|estación (de tren); estación, base (de policía o radio); gas station / petrol station: gasolinera|o;o;n
goodbye|adiós (al despedirse)|g
fear|miedo, temor; temer, tenerle miedo a|o;v
near|cerca de, a poca distancia|o
kick|patear, dar una patada|v
wall|pared, muro; barrera|o;o
brain|cerebro; inteligencia|o;o
arrive|llegar|v
handle|manejar, encargarse de; mango, manija|v;o
shop|tienda; comprar, ir de compras|o;v
bar|bar; barra de metal; bloquear, impedir|o;o;v
happening|ocurriendo, pasando|o
prove|probar, demostrar|v
study|estudiar; estudio, cuarto de trabajo; un estudio, una investigación|v;o;o
busy|ocupado, con mucho que hacer; ocupado, en uso|o;o
'am|(en ma'am) señora|o
crime|delito, crimen|o
animal|animal|o
tired|cansado; tired of: harto de|o;n
bastard|(insulto) tipo desagradable, cabrón; hijo de padres no casados|o;o
service|servicio (a los clientes); servicio religioso; las fuerzas armadas|o;o;o
judge|juez; juzgar, opinar sobre|o;v
thousand|1.000|o
ground|suelo, tierra; base, fundamento|o;o
blue|azul|o
mile|milla, medida de 1,6 km|o
group|grupo|o
search|buscar con cuidado; búsqueda|v;o
