# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
their|deles|o
use|usar; uso, utilidade|v;o
great|ótimo, muito bom; grande, enorme|o;o
long|longo, demorado; comprido, longo; ansiar por, desejar muito; as long as: desde que, enquanto; no longer: já não; before long: em breve|o;o;v;n;n;n
uh|é… (ao hesitar)|o
again|de novo, outra vez|o
thought|pensou, passado de think; um pensamento, uma ideia|o;o
kill|matar|v
maybe|talvez|o
must|dever, ter que|o
night|noite|o
before|antes de; diante de, em frente de; antes, anteriormente (I've seen it before)|o;o;o
after|depois de; atrás de, seguindo; atrás de, à procura de (the police are after him); after all: afinal, apesar de tudo|o;o;o;n
won|ganhou, passado de win; (em won't) não vai|o;o
home|para casa, em casa (go home); casa, lar|o;o
away|embora, para outro lugar; de distância (two miles away); fora, ausente|o;o;o
girl|menina, garota|o
than|do que (nas comparações)|o
name|nome; dar nome a|o;v
friend|amigo|o
fuck|(vulgar) foder; usado para raiva ou ênfase|o;o
better|melhor; melhor, recuperado de doença; had better: é melhor, deveria|o;o;n
everything|tudo|o
new|novo, feito recentemente; novo, desconhecido; novo, diferente (a new job)|o;o;o
start|começar; o começo|v;o
always|sempre|o
feel|sentir; feel like: ter vontade de, parecer|v;n
place|lugar, local; casa (at my place); lugar, posição (first place); colocar, pôr; take place: acontecer, ter lugar; in place of: em lugar de; in the first place: em primeiro lugar, para começar|o;o;o;v;n;n;n
big|grande; grande, importante; mais velho (big brother)|o;o;o
woman|mulher|o
old|velho, idoso; antigo, ex- (my old school); de idade (ten years old)|o;o;o
money|dinheiro|o
around|em volta de, ao redor de; por aí, aqui e ali; por volta de, cerca de|o;o;o
doesn|(em doesn't) não (com he/she/it)|f3s
stay|ficar|v
play|brincar, jogar; uma peça de teatro|v;o
kid|criança, garoto; brincar|o;v
believe|acreditar|v
wrong|errado, incorreto; errado, mau, imoral; com problema, com defeito (what's wrong)|o;o;o
bring|trazer (para cá); bring up: criar, mencionar (um assunto), trazer para cima; bring about: provocar, causar; bring down: derrubar, baixar; bring out: realçar, lançar|v;n;n;n;n
father|pai; padre (título)|o;o
ever|alguma vez; de todos os tempos, nunca (o melhor de sempre); ever since: desde então|o;o;n
move|mover, mexer-se|v
boy|menino, garoto|o
show|mostrar; um programa, um espetáculo; show up: aparecer, chegar, envergonhar; show off: exibir-se|v;o;n;n
isn|(em isn't) não é|f3s
listen|escutar|v
die|morrer|v
which|qual, que|o
miss|sentir falta de; errar (não acertar); senhorita (título); (missing) perdido, desaparecido, que falta; miss out: perder (uma oportunidade)|v;v;o;o;n
late|atrasado, tarde; tarde, no fim (late at night); falecido (the late king)|o;o;o
nice|agradável, simpático|o
kind|tipo, espécie; gentil, bondoso; (kind of) meio, um pouco, mais ou menos|o;o;o
house|casa|o
understand|entender, compreender|v
someone|alguém|o
being|sendo, estando (forma -ing de be); ser, criatura viva|o;o
meet|conhecer, encontrar-se com|v
coming|vindo; coming up: chegando, a caminho; coming on: vamos!, começando|o;n;n
every|cada, todo|o
through|através de, de um lado ao outro; por meio de; acabado, farto (I'm through with it)|o;o;o
lose|perder (extraviar); perder (um jogo)|v;v
remember|lembrar, recordar|v
course|curso, série de aulas; of course: claro, com certeza|o;n
mother|mãe|o
dad|pai, papai|o
left|deixou, passado de leave; esquerda (o lado)|o;o
world|mundo, a Terra e seus povos; mundo, meio, área de atividade (the art world)|o;o
enough|suficiente, bastante|o
own|próprio (que pertence a si); possuir, ser dono de; on my own / on your own / on his own / on her own / on its own / on our own / on their own: sozinho, por conta própria|o;v;n
care|importar-se; cuidado, atenção; care for: cuidar de, gostar de; care about: importar-se com|v;o;n;n
bad|mau, ruim, de má qualidade; mau, malvado; forte, grave (a bad cold)|o;o;o
three|três|o
might|poderia, possivelmente|o
today|hoje; hoje em dia, atualmente|o;o
car|carro|o
another|outro, mais um; outro, um diferente|o;o
minute|minuto, sessenta segundos; minuto, momento (wait a minute); minúsculo, diminuto|o;o;o
turn|virar, girar; uma vez (a sua vez); turn out: acabar por ser, revelar-se, apagar (uma luz); turn into: transformar-se em; turn on: ligar, voltar-se contra; turn off: desligar; turn up: aparecer, levantar (a gola), aumentar (o volume); turn down: recusar, abaixar (o volume); turn over: virar, entregar; turn around: virar-se, dar a volta por cima; in turn: por sua vez, alternadamente|v;o;n;n;n;n;n;n;n;n;n
same|mesmo, igual|o
son|filho|o
found|encontrou, passado de find; fundar, estabelecer; found out: descobriu, soube|o;v;n
else|mais, outro, além disso; or else: senão|o;n
next|próximo, seguinte; next to: ao lado de|o;n
run|correr; dirigir (um negócio); run into: topar com, bater em, entrar correndo; run out of: ficar sem; run out: acabar, expirar, sair correndo, abandonar; run away: fugir|v;v;n;n;n;n
mind|mente; importar-se, incomodar-se; tomar cuidado com (mind the step: cuidado com o degrau); never mind: não importa, deixa pra lá; in mind: em mente; change my mind / change your mind: mudar de ideia|o;v;v;n;n;n
yourself|você mesmo|o
job|emprego, trabalho|o
head|cabeça; dirigir-se, ir em direção a; chefe, líder|o;v;o
dead|morto; descarregado, sem funcionar (a dead battery); totalmente, morto de (dead tired)|o;o;o
family|família|o
many|muitos|o
worry|preocupar-se; preocupação|v;o
wasn|(was not, em wasn't)|g
baby|bebê; querido, amor (ao chamar alguém)|o;o
room|quarto, cômodo; espaço, lugar|o;o
mom|mãe, mamãe|o
watch|assistir, olhar; relógio (de pulso)|v;o
child|criança|o
hold|segurar; hold on: esperar, segurar firme, espera!; hold up: levantar, atrasar, assaltar, sustentar; hold out: estender (a mão), durar, resistir; hold back: conter, hesitar, esconder; hold on to: agarrar-se a, guardar|v;n;n;n;n;n
best|o melhor|o
morning|manhã|o
hell|inferno; what the hell: exprime irritação|o;n
together|juntos|o
brother|irmão|o
saw|viu, passado de see; serrote, serra; serrar|o;o;v
eat|comer|v
end|fim, final; terminar; end up: acabar, ir parar; in the end: no fim, afinal; at the end of the day: no fim das contas|o;v;n;n;n
idea|ideia|o
real|real, autêntico|o
forget|esquecer|v
problem|problema|o
without|sem|o
wouldn|(would not, em wouldn't)|g
already|já|o
hope|esperar; esperança|v;o
door|porta|o
open|abrir; aberto|v;o
send|enviar, mandar|v
actually|na verdade, de fato|o
shit|(vulgar) merda; usado para irritação ou desânimo|o;o
seem|parecer|v
happy|feliz, contente; disposto (happy to help)|o;o
huh|hein? (para pedir que repitam; para confirmar)|o
speak|falar; speak up: falar mais alto, manifestar-se|v;n
both|ambos, os dois|o
laugh|rir; uma risada|v;o
ready|pronto|o
guess|adivinhar; I guess: acho que|v;n
pretty|bonito; bastante, meio|o;o
wife|esposa, mulher|o
drink|beber; uma bebida|v;o
hour|hora|o
word|palavra; palavra, promessa (you have my word); notícia (any word from him?); in other words: em outras palavras|o;o;o;n
eye|olho|o
such|tal, semelhante; tão (um dia tão bonito); such as: como, por exemplo|o;o;n
also|também|o
haven|(have not, em haven't)|g
yet|ainda, até agora; no entanto, mas|o;o
whole|inteiro, todo; on the whole: de modo geral|o;n
since|desde (a partir de então); já que, porque|o;o
face|rosto, cara; enfrentar, encarar|o;v
phone|telefone; telefonar|o;v
sleep|dormir; sono|v;o
school|escola|o
fight|brigar, lutar; uma briga|v;o
tomorrow|amanhã|o
week|semana|o
tonight|hoje à noite|o
everyone|todos, todo mundo|o
break|quebrar; uma pausa, um intervalo; break down: quebrar, ir abaixo; break up: terminar (um namoro), despedaçar-se; break out: estourar, fugir; break into: arrombar, desatar a; break in: arrombar, interromper|v;o;n;n;n;n;n
walk|andar, caminhar; uma caminhada|v;o
marry|casar-se com|v
wanna|querer (informal de want to)|o
ah|ah (ao compreender, de alívio)|o
second|segundo (unidade de tempo); segundo (depois do primeiro)|o;o
alone|sozinho; let alone: muito menos|o;n
myself|eu mesmo|o
um|hum (ao hesitar)|o
soon|logo, em breve; as soon as: assim que; sooner or later: mais cedo ou mais tarde|o;n;n
close|fechar; perto, próximo|v;o
question|pergunta; questão, assunto; questionar, interrogar, duvidar|o;o;v
few|poucos, não muitos|o
heart|coração (órgão); coração, sentimentos, amor; centro, coração (the heart of the city); by heart: de cor; at heart: no fundo|o;o;o;n;n
couldn|(could not, em couldn't)|g
lady|senhora, dama|o
buy|comprar|v
gotta|(have got to) dever, ter que|o
ago|atrás (tempo atrás)|o
anyone|alguém, qualquer um|o
sound|soar, parecer; som|v;o
until|até|o
sit|sentar-se|v
become|tornar-se, virar|v
doctor|médico, doutor|o
young|jovem|o
police|polícia|o
business|negócios, comércio; assunto, questão|o;o
part|parte, pedaço; papel (numa peça ou filme); separar-se, separar; take part: participar; in part: em parte|o;o;v;n;n
true|verdadeiro, correto; verdadeiro, real, autêntico; fiel, leal; come true: tornar-se realidade|o;o;o;n
each|cada|o
easy|fácil; tranquilo, calmo; calma! devagar, com cuidado|o;o;o
fire|fogo; demitir (do emprego); disparar (uma arma)|o;v;v
hurt|machucar, doer|v
music|música|o
water|água; regar (plantas)|o;v
probably|provavelmente|o
month|mês|o
beautiful|lindo, belo|o
stuff|coisas|o
person|pessoa|o
damn|droga (irritação); maldito|o;o
story|história, relato; andar (de um prédio)|o;o
body|corpo; cadáver, corpo; órgão, entidade (a governing body)|o;o;o
death|morte|o
number|número|o
working|trabalhando (forma -ing de work); funcionando; empregado, que trabalha|o;o;o
pick|pegar, apanhar; escolher; pick up: pegar, buscar, atender (o telefone), aprender; pick on: implicar com|v;v;n;n
crazy|louco, maluco|o
write|escrever|v
stand|ficar de pé; suportar, aguentar; stand for: representar, significar, tolerar; stand out: destacar-se; stand up for: defender; stand by: ficar a postos, apoiar|v;v;n;n;n;n
save|salvar (resgatar); guardar (conservar)|v;v
game|jogo, brincadeira; partida, jogo; caça (animais selvagens)|o;o;o
exactly|exatamente, precisamente; exatamente! (concordando)|o;o
under|debaixo de, sob; menos de (under five)|o;o
everybody|todos, todo mundo|o
wish|desejar; um desejo|v;o
shut|fechar; shut up: cala a boca!, calar-se (rude); shut down: fechar (um negócio), desligar (uma máquina)|v;n;n
chance|chance, oportunidade; sorte, acaso; by chance: por acaso; stand a chance: ter chance|o;o;n;n
party|festa (comemoração); grupo, partido|o;o
five|cinco|o
plan|plano; planejar|o;v
its|dele, dela (de uma coisa)|o
whatever|o que quer que seja, tanto faz|o
answer|resposta; responder|o;v
aren|(are not, em aren't)|g
taking|pegando; taking over: assumindo o controle de; taking care of: cuidando de|o;n;n
promise|prometer; uma promessa|v;o
moment|momento; at the moment: no momento, no momento (em que); for the moment: por enquanto|o;n;n
inside|dentro, do lado de dentro|o
set|pôr, colocar; conjunto, jogo; set up: criar, organizar, armar uma cilada; set out: partir, propor-se, expor; set off: partir, disparar (um alarme); set in: instalar-se (mau tempo, um sentimento); set about: começar a; set fire to: pôr fogo em|v;o;n;n;n;n;n;n
catch|pegar, apanhar; catch up: alcançar, pôr em dia; catch up with: alcançar, pôr a conversa em dia com; catch sight of: avistar|v;n;n;n
different|diferente|o
high|alto, elevado (high prices); alto, elevado; chapado, drogado; high school: ensino médio, escola secundária|o;o;o;n
sister|irmã|o
daughter|filha|o
gun|arma, revólver|o
somebody|alguém|o
dream|sonho; sonhar|o;v
reason|razão, motivo|o
side|lado, borda ou superfície; lado, time, partido; lado (do corpo)|o;o;o
making|fazendo; making sure: certificando-se; making up: inventando, formando, fazendo as pazes|o;n;n
afraid|com medo, assustado; I'm afraid: lamento dizer|o;n
rest|o resto, o que sobra; descansar|o;v
four|quatro|o
quite|bastante, meio; completamente, totalmente|o;o
anyway|de qualquer forma|o
ain|(não sou, não é, não são — em ain't)|g
shall|(ao oferecer ou sugerir: shall we?, vamos?)|o
shot|atirou, passado de shoot; um tiro|o;o
fun|diversão|o
hate|odiar|v
against|contra, oposto a; contra, encostado em (against the wall)|o;o
feeling|sentindo (forma -ing de feel); sentimento, emoção; sensação, pressentimento (I have a feeling that)|o;o;o
husband|marido|o
dog|cachorro|o
important|importante|o
line|linha, traço; fila; linha (de texto); linha (telefônica); fala (de um ator)|o;o;o;o;o
trust|confiar em; confiança|v;o
cut|cortar; cut off: cortar, isolar, interromper; cut out: recortar, parar de; cut down: cortar, reduzir|v;n;n;n
wear|vestir, usar; wear out: desgastar, esgotar; wear off: passar (um efeito)|v;n;n
trouble|problemas, dificuldades; incomodar, perturbar|o;v
power|poder, controle, autoridade; força, potência; energia, eletricidade (power cut)|o;o;o
read|ler|v
nobody|ninguém|o
ring|anel (joia); tocar, soar|o;v
mr|Sr. (título para um homem)|o
though|embora, apesar de; no entanto, contudo|o;o
throw|jogar, atirar; throw up: vomitar, levantar (as mãos); throw away: jogar fora, desperdiçar|v;n;n
war|guerra|o
between|entre|o
murder|assassinato; assassinar|o;v
pass|passar; passar (numa prova); pass away: falecer, morrer; ser aprovado (uma lei); um passe, uma autorização; pass out: desmaiar; pass on: passar adiante, recusar, falecer|v;v;n;v;o;n;n
city|cidade|o
truth|verdade|o
sell|vender; sell out: esgotar, vender-se|v;n
pull|puxar; pull over: encostar; pull off: conseguir; pull up: parar, puxar para cima|v;n;n;n
blood|sangue|o
finish|terminar|v
behind|atrás de; atrasado (behind schedule); por trás de, apoiando|o;o;o
almost|quase|o
team|time, equipe|o
able|(be able to) poder, ser capaz de|o
anymore|não mais, já não|o
couple|um par, dois; um casal|o;o
office|escritório; cargo (in office)|o;o
town|cidade pequena, vila|o
welcome|bem-vindo; you're welcome: de nada|o;n
cool|fresco (um pouco frio); legal, ótimo|o;o
sign|placa, sinal; assinar|o;v
free|grátis, de graça; livre, solto|o;o
spend|passar (tempo); gastar (dinheiro)|v;v
fact|fato; in fact / as a matter of fact: na verdade, de fato|o;n
yours|seu, o que pertence a você|o
dance|dançar; uma dança|v;o
wow|uau (admiração, surpresa)|o
half|metade, meio|o
drop|deixar cair, soltar; uma gota; drop off: deixar (alguém), adormecer; drop in: dar uma passada; drop out: abandonar (os estudos, uma corrida)|v;o;n;n;n
bed|cama|o
either|qualquer um dos dois|o
country|país, nação; campo, zona rural|o;o
figure|figura, forma ou número; imaginar, deduzir; figure out: descobrir, entender|o;v;n
front|frente, parte da frente; in front of: diante de|o;n
learn|aprender|v
whoa|opa, uau (surpresa; para frear)|o
bye|tchau, adeus|o
telling|contando, dizendo|o
honey|mel (alimento doce); querido, meu bem (tratamento afetuoso)|o;o
wonder|perguntar-se; assombro, maravilha; no wonder: não admira|v;o;n
return|voltar, regressar; devolver|v;v
stupid|burro, pouco inteligente|o
sigh|suspirar, soltar o ar de cansaço ou alívio|v
hurry|apressar-se, correr; hurry up: apressar-se, anda depressa!|v;n
hot|quente; picante, apimentado; atraente|o;o;o
news|notícias, relatos de fatos recentes|o
food|comida, o que se come|o
date|data do mês; encontro romântico; sair com alguém|o;o;v
follow|seguir; entender, acompanhar|v;v
decide|decidir, escolher|v
full|cheio; completo|o;o
early|cedo, antes da hora habitual|o
lord|nobre, senhor; (com maiúscula) Deus|o;o
picture|imagem, foto; filme|o;o
sometimes|às vezes, nem sempre|o
along|ao longo de; junto com|o;o
small|pequeno|o
foot|pé (parte do corpo); pé, medida de 30 cm|o;o
expect|esperar que algo aconteça; exigir|v;v
outside|fora de, do lado de fora|o
king|rei|o
funny|engraçado; esquisito, suspeito|o;o
stick|grudar, ficar preso; graveto, vara; stick to: manter-se fiel a; stick around: ficar por perto; stick out: sobressair, destacar-se|v;o;n;n;n
captain|capitão (de um navio, time ou unidade)|o
chuckle|rir baixinho|v
human|ser humano; humano, das pessoas|o;o
em|(em 'em) os, as, eles|o
safe|a salvo, fora de perigo; cofre|o;o
six|6|o
street|rua|o
alive|vivo, com vida|o
lead|guiar, ir à frente; a liderança, o primeiro lugar; chumbo|v;o;o
drive|dirigir um veículo; levar a um estado; impulso, energia|v;v;o
boss|chefe|o
living|vivo; o sustento, o modo de ganhar a vida; (de live) morando, vivendo (living in London: morando em Londres); living room: sala de estar|o;o;o;n
control|controle, poder sobre algo; controlar, dominar|o;v
blow|soprar; blow up: explodir; golpe forte; blow out: apagar (uma vela)|v;n;o;n
parent|pai ou mãe|o
dinner|jantar, refeição principal do dia|o
ahead|à frente, mais adiante|o
surprise|surpresa; surpreender, pegar desprevenido|o;v
state|estado, nação; estado, condição; declarar formalmente|o;o;v
company|empresa, companhia; companhia, estar acompanhado|o;o
force|força física; obrigar alguém; corporação armada|o;v;o
fly|voar; mosca|v;o
win|ganhar, vencer|v
shouldn|(em shouldn't) não deveria|o
